ID,Date,Time,Coordinates,Angular Width,Central Pos. Angle,Linear Speed,Mass,Potential Energy,Kinetic Energy,Mass estimation time
56,19/10/2010,07:00,(-18.2; 204.2),51,287.5,385.8,2.85E+14,3.68E+29,2.12E+29,9:11
57,19/10/2010,12:45,(-18.0; 202.6),42,258,281.8,4.37E+14,5.24E+29,1.74E+29,15:12
58,19/10/2010,16:10,(-15.9; 222.2),37,271.5,385.5,1.80E+14,2.46E+29,1.34E+29,17:59
59,19/10/2010,18:45,(-19.4; 209.8),11,272.5,237.3,1.23E+13,1.42E+28,3.46E+27,19:46
60,19/10/2010,23:10,(-10.4; 214.0),14,275,307.4,1.99E+14,2.59E+29,9.40E+28,0:34
61,20/10/2010,01:15,(-18.2; 207.1),51,257.5,270,6.73E+13,1.08E+29,2.45E+28,2:46
62,20/10/2010,11:55,(-18.2; 205.5),35,271.5,382.7,7.59E+13,1.15E+29,5.56E+28,13:34
63,21/10/2010,23:30,(-31.1; 190.3),37,240.5,119.3,1.59E+14,1.93E+29,1.13E+28,0:47
64,22/10/2010,01:00,(-27.7; 197.6),39,241.5,243.6,3.17E+14,3.88E+29,9.41E+28,3:59
65,22/10/2010,05:00,(-25.7; 201.5),28,238,384.1,4.86E+14,6.01E+29,3.59E+29,6:59
66,23/10/2010,01:00,(-18.7; 206.9),23,250.5,87.8,1.16E+13,1.91E+28,4.47E+26,4:22
67,23/10/2010,04:30,(-19.5; 205.2),77,273.5,464.4,1.12E+14,1.63E+29,1.21E+29,6:36
68,28/10/2010,11:00,,63,251.5,433.4,7.74E+15,1.26E+31,7.27E+30,16:24
69,28/10/2010,16:00,,35,246.5,590.7,3.96E+15,6.47E+30,6.91E+30,20:39
70,29/10/2010,12:00,,20,253,635.3,4.49E+14,6.99E+29,9.06E+29,6:39
71,29/10/2010,12:00,,30,255,396.5,2.04E+14,4.50E+29,1.60E+29,21:39
72,31/10/2010,10:00,(-19.0; 204.4),15,262.5,419.3,7.60E+12,6.76E+28,6.68E+27,13:24
73,02/11/2010,09:50,(-19.9; 211.2),27,93.5,245.2,4.16E+13,5.08E+28,1.25E+28,10:44
74,03/11/2010,02:00,(-13.8; 223.3),23,98.5,292.2,3.51E+13,4.49E+28,1.50E+28,3:11
75,03/11/2010,06:05,(-18.9; 212.0),74,87,292,8.84E+14,1.08E+30,3.77E+29,7:59
76,03/11/2010,09:10,(-17.8; 210.9),36,95,135.7,6.33E+14,7.36E+29,5.83E+28,11:23
77,03/11/2010,12:25,(-19.8; 208.4),58,99,371.3,2.90E+15,4.04E+30,2.00E+30,19:23
78,05/11/2010,14:30,(-19.6; 209.1),7,101.5,223,5.91E+12,7.44E+27,1.47E+27,16:47
79,06/11/2010,01:25,(-30.0; 187.9),11,105.5,252.4,8.22E+12,1.13E+28,2.62E+27,3:45
80,06/11/2010,15:40,(-19.8; 207.1),21,110.5,259.7,3.15E+14,3.91E+29,1.06E+29,19:34
81,10/11/2010,14:20,(-20.8; 190.8),22,119,380.5,2.10E+14,3.09E+29,1.52E+29,16:54
82,10/11/2010,16:45,(-21.5; 191.5),21,120.5,344.5,5.15E+14,7.75E+29,3.06E+29,20:24
83,11/11/2010,02:15,(-23.4; 189.5),44,110,302.6,6.43E+13,8.20E+28,2.94E+28,3:39
84,11/11/2010,05:15,(-21.7; 202.6),27,123.5,110,4.35E+13,5.58E+28,2.63E+27,6:24
85,11/11/2010,07:30,(-24.1; 190.8),36,115,393.7,1.00E+15,1.45E+30,7.75E+29,10:24
86,11/11/2010,10:15,(-23.5; 189.2),31,121.5,525.6,8.45E+13,1.10E+29,1.17E+29,10:54
87,11/11/2010,13:15,(-24.5; 191.0),33,118.5,311.6,7.85E+14,1.18E+30,3.81E+29,16:24
88,11/11/2010,16:15,(-21.6; 189.8),42,112,829.9,2.13E+15,3.57E+30,7.34E+30,18:54
