T_REC,USFLUX,MEANGAM,MEANGBT,MEANGBZ,MEANGBH,MEANJZD,TOTUSJZ,MEANALP,MEANJZH,TOTUSJH,ABSNJZH,SAVNCPP,MEANPOT,TOTPOT,MEANSHR,SHRGT45,ERRVF,ERRGAM,ERRBT,ERRBZ,ERRBH,ERRJZ,ERRUSI,ERRALP,ERRMIH,ERRUSI,ERRTAI,ERRJHT,ERRMPOT,ERRTPOT,ERRMSHA
2010.07.21_00:00:00_TAI,   3.2451460e+22,       35.810000,       85.072000,       92.350000,       42.138000,    -0.029031250,   3.4331110e+13,    0.0088636300,    0.0037246200,       1826.7240,       170.08500,   1.2144550e+13,       5859.1000,   3.5533380e+23,       29.898000,       16.947000,   9.2578460e+18,     0.018000000,      0.10300000,      0.10900000,     0.093000000,     0.029157810,   1.7683190e+11,   0.00053296000,   0.00022397000,   1.7683190e+11,       10.227000,   7.2300990e+11,       4.8699990,   2.9534840e+20,       0.0000000
2010.07.21_00:12:00_TAI,   3.2328380e+22,       36.208000,       84.866000,       91.733000,       41.653000,    -0.034724300,   3.3222300e+13,    0.0085149400,    0.0035781200,       1774.9380,       163.10900,   1.2221190e+13,       5974.3780,   3.6169830e+23,       30.348000,       17.773000,   9.2812860e+18,     0.018000000,      0.10300000,      0.11000000,     0.092000000,     0.029214330,   1.7686820e+11,   0.00052689000,   0.00022141000,   1.7686820e+11,       10.093000,   7.2317130e+11,       4.8944320,   2.9631670e+20,       0.0000000
2010.07.21_00:24:00_TAI,   3.2606520e+22,       36.400000,       84.692000,       91.602000,       41.736000,    0.0025240100,   3.3964200e+13,    0.0085127100,    0.0035382200,       1804.4360,       163.64300,   1.2584290e+13,       5990.3110,   3.6795320e+23,       30.505000,       18.198000,   9.2858420e+18,     0.017000000,      0.10200000,      0.10800000,     0.091000000,     0.028823870,   1.7704980e+11,   0.00052242000,   0.00021715000,   1.7704980e+11,       10.043000,   7.2392690e+11,       4.8124910,   2.9560590e+20,       0.0000000
2010.07.21_00:36:00_TAI,   3.2719290e+22,       36.115000,       84.933000,       93.490000,       42.429000,    0.0048169500,   3.4808800e+13,    0.0088027700,    0.0036468200,       1832.9450,       169.40600,   1.3648850e+13,       5834.0080,   3.5991740e+23,       30.294000,       17.555000,   9.2504000e+18,     0.017000000,      0.10100000,      0.10700000,     0.091000000,     0.028603630,   1.7646430e+11,   0.00052702000,   0.00021834000,   1.7646430e+11,       10.143000,   7.2154620e+11,       4.7260280,   2.9156280e+20,       0.0000000
2010.07.21_00:48:00_TAI,   3.3017080e+22,       35.680000,       85.119000,       92.087000,       41.987000,    0.0047094600,   3.4318350e+13,    0.0078192500,    0.0032812400,       1845.4060,       152.18700,   1.3364660e+13,       5832.2000,   3.5924810e+23,       29.806000,       17.004000,   9.2331640e+18,     0.017000000,      0.10100000,      0.10700000,     0.091000000,     0.028616950,   1.7627290e+11,   0.00052797000,   0.00022156000,   1.7627290e+11,       10.276000,   7.2077680e+11,       4.7729600,   2.9400170e+20,       0.0000000
2010.07.21_01:00:00_TAI,   3.3248340e+22,       35.920000,       84.651000,       91.309000,       42.223000,     0.023738140,   3.4558100e+13,    0.0077297500,    0.0032295600,       1865.6510,       151.45000,   1.2454410e+13,       5833.9110,   3.6334360e+23,       30.072000,       17.317000,   9.2663210e+18,     0.018000000,      0.10100000,      0.10600000,     0.091000000,     0.028492620,   1.7745570e+11,   0.00052624000,   0.00021987000,   1.7745570e+11,       10.311000,   7.2562720e+11,       4.7205100,   2.9399960e+20,       0.0000000
2010.07.21_01:12:00_TAI,   3.3350790e+22,       35.696000,       85.108000,       91.710000,       42.035000,    0.0031598400,   3.4639800e+13,    0.0074571200,    0.0031468400,       1894.5460,       146.97900,   1.2076390e+13,       5856.6420,   3.6328150e+23,       29.897000,       17.267000,   9.1520190e+18,     0.017000000,      0.10100000,      0.10600000,     0.091000000,     0.028303320,   1.7556260e+11,   0.00052986000,   0.00022361000,   1.7556260e+11,       10.444000,   7.1789960e+11,       4.7686600,   2.9579510e+20,       0.0000000
2010.07.21_01:24:00_TAI,   3.3320460e+22,       35.883000,       85.492000,       92.677000,       42.511000,   -0.0022710000,   3.4910420e+13,    0.0083064100,    0.0034994100,       1887.4600,       163.77600,   1.2542440e+13,       5925.7810,   3.6832570e+23,       30.061000,       17.341000,   9.2595460e+18,     0.017000000,      0.10200000,      0.10700000,     0.091000000,     0.028602630,   1.7778390e+11,   0.00052757000,   0.00022227000,   1.7778390e+11,       10.402000,   7.2699640e+11,       4.8578200,   3.0194500e+20,       0.0000000
2010.07.21_01:36:00_TAI,   3.2946640e+22,       36.541000,       85.450000,       92.805000,       42.615000,     0.010899860,   3.4857450e+13,    0.0086038000,    0.0036175300,       1861.6350,       167.97300,   1.3957170e+13,       6206.2830,   3.8271100e+23,       30.668000,       18.625000,   9.2391400e+18,     0.017000000,      0.10100000,      0.10700000,     0.091000000,     0.028730970,   1.7716980e+11,   0.00052687000,   0.00022154000,   1.7716980e+11,       10.287000,   7.2449930e+11,       5.0067250,   3.0874020e+20,       0.0000000
2010.07.21_01:48:00_TAI,   3.3130150e+22,       36.519000,       85.613000,       92.760000,       42.546000,     0.029032760,   3.5143490e+13,    0.0091921100,    0.0038562600,       1873.7440,       179.99100,   1.3982850e+13,       6163.9790,   3.8209160e+23,       30.571000,       18.309000,   9.2772120e+18,     0.017000000,      0.10100000,      0.10700000,     0.092000000,     0.028781170,   1.7840820e+11,   0.00052788000,   0.00022147000,   1.7840820e+11,       10.337000,   7.2957730e+11,       4.9626440,   3.0762340e+20,       0.0000000
