T_REC,USFLUX,MEANGAM,MEANGBT,MEANGBZ,MEANGBH,MEANJZD,TOTUSJZ,MEANALP,MEANJZH,TOTUSJH,ABSNJZH,SAVNCPP,MEANPOT,TOTPOT,MEANSHR,SHRGT45,ERRVF,ERRGAM,ERRBT,ERRBZ,ERRBH,ERRJZ,ERRUSI,ERRALP,ERRMIH,ERRUSI,ERRTAI,ERRJHT,ERRMPOT,ERRTPOT,ERRMSHA
2010.09.13_00:00:00_TAI,   3.3873800e+22,       28.609000,       76.735000,       77.695000,       33.199000,     0.051812240,   2.5487520e+13,     0.011401870,    0.0037158300,       1242.3180,       189.67400,   9.2642480e+12,       2557.0500,   1.7334920e+23,       22.166000,       7.2500000,   7.8981170e+18,     0.016000000,     0.082000000,     0.084000000,     0.070000000,     0.021188780,   1.4364440e+11,   0.00044162000,   0.00014393000,   1.4364440e+11,       7.3470000,   5.7606750e+11,       2.9220890,   1.9809620e+20,    0.0020000000
2010.09.13_00:12:00_TAI,   3.3747370e+22,       28.551000,       77.111000,       78.192000,       33.452000,     0.046950650,   2.5588620e+13,     0.011326750,    0.0037040600,       1244.5160,       187.90300,   8.9850130e+12,       2567.2820,   1.7296210e+23,       22.270000,       7.3590000,   7.8491130e+18,     0.016000000,     0.082000000,     0.084000000,     0.070000000,     0.021202070,   1.4284190e+11,   0.00044365000,   0.00014509000,   1.4284190e+11,       7.3600000,   5.7286300e+11,       2.9086370,   1.9595980e+20,    0.0010000000
2010.09.13_00:24:00_TAI,   3.3865500e+22,       28.472000,       77.062000,       77.989000,       33.021000,     0.036425270,   2.5766920e+13,     0.011678890,    0.0037869500,       1250.8930,       193.78200,   9.9661740e+12,       2531.3020,   1.7203070e+23,       22.243000,       7.1580000,   7.9073940e+18,     0.016000000,     0.082000000,     0.084000000,     0.070000000,     0.021200460,   1.4408120e+11,   0.00044538000,   0.00014442000,   1.4408120e+11,       7.3900000,   5.7784680e+11,       2.9053940,   1.9745450e+20,    0.0010000000
2010.09.13_00:36:00_TAI,   3.3941760e+22,       28.418000,       76.694000,       77.767000,       33.173000,     0.046305280,   2.5910150e+13,     0.011151230,    0.0035910700,       1256.4380,       184.93700,   9.8591800e+12,       2469.0880,   1.6887810e+23,       22.221000,       7.1470000,   7.9252550e+18,     0.016000000,     0.082000000,     0.084000000,     0.070000000,     0.021129370,   1.4451840e+11,   0.00045347000,   0.00014603000,   1.4451840e+11,       7.5200000,   5.7961440e+11,       2.7598090,   1.8876250e+20,       0.0000000
2010.09.13_00:48:00_TAI,   3.3825710e+22,       28.547000,       76.869000,       77.957000,       33.231000,     0.040336820,   2.5894400e+13,     0.011210700,    0.0036143100,       1260.6090,       185.35600,   9.3684200e+12,       2502.7650,   1.7045690e+23,       22.302000,       7.2580000,   7.8604380e+18,     0.016000000,     0.082000000,     0.083000000,     0.070000000,     0.021159080,   1.4410910e+11,   0.00045596000,   0.00014700000,   1.4410910e+11,       7.5390000,   5.7798660e+11,       2.8952470,   1.9718790e+20,    0.0010000000
2010.09.13_01:00:00_TAI,   3.4196290e+22,       28.750000,       76.762000,       77.852000,       33.299000,     0.045178280,   2.6543540e+13,     0.011276500,    0.0035520300,       1269.2530,       186.87900,   8.3992430e+12,       2473.0630,   1.7280220e+23,       22.518000,       7.4310000,   8.1636630e+18,     0.016000000,     0.083000000,     0.084000000,     0.071000000,     0.021438610,   1.4979960e+11,   0.00046242000,   0.00014566000,   1.4979960e+11,       7.6640000,   6.0082450e+11,       2.8930690,   2.0214960e+20,    0.0010000000
2010.09.13_01:12:00_TAI,   3.3633830e+22,       28.530000,       77.561000,       78.510000,       33.398000,     0.041823840,   2.5758680e+13,     0.011639450,    0.0037330000,       1249.1630,       190.96200,   8.9434830e+12,       2532.9510,   1.7208900e+23,       22.275000,       7.2580000,   7.9853090e+18,     0.016000000,     0.083000000,     0.085000000,     0.071000000,     0.021543870,   1.4636920e+11,   0.00046038000,   0.00014766000,   1.4636920e+11,       7.5530000,   5.8708020e+11,       2.9923940,   2.0330360e+20,    0.0020000000
2010.09.13_01:24:00_TAI,   3.3685580e+22,       28.531000,       77.149000,       78.085000,       33.229000,     0.069754380,   2.5782250e+13,     0.011149730,    0.0035587800,       1245.1840,       182.94600,   8.7129520e+12,       2529.1040,   1.7267050e+23,       22.246000,       7.1600000,   8.0839540e+18,     0.016000000,     0.083000000,     0.085000000,     0.072000000,     0.021795590,   1.4880600e+11,   0.00046242000,   0.00014760000,   1.4880600e+11,       7.5880000,   5.9686850e+11,       3.1214920,   2.1311490e+20,    0.0010000000
2010.09.13_01:36:00_TAI,   3.3697730e+22,       28.596000,       77.266000,       78.035000,       33.010000,     0.030008680,   2.5939080e+13,     0.010711860,    0.0034275800,       1259.7480,       176.14700,   8.2008700e+12,       2510.4340,   1.7134260e+23,       22.286000,       7.1570000,   8.0180240e+18,     0.016000000,     0.083000000,     0.085000000,     0.071000000,     0.021549860,   1.4708250e+11,   0.00046305000,   0.00014817000,   1.4708250e+11,       7.6150000,   5.8996980e+11,       2.9664220,   2.0246480e+20,    0.0010000000
2010.09.13_01:48:00_TAI,   3.3552500e+22,       28.685000,       77.395000,       78.261000,       33.364000,     0.057553600,   2.5991030e+13,     0.010913110,    0.0035206100,       1263.6660,       179.36800,   9.0396760e+12,       2533.3890,   1.7141550e+23,       22.359000,       7.1600000,   7.8942910e+18,     0.016000000,     0.082000000,     0.084000000,     0.071000000,     0.021443370,   1.4509130e+11,   0.00045630000,   0.00014721000,   1.4509130e+11,       7.5000000,   5.8199650e+11,       2.9135480,   1.9713800e+20,    0.0010000000
2010.09.13_02:00:00_TAI,   3.3632250e+22,       28.521000,       77.915000,       78.694000,       33.339000,     0.063447400,   2.6101270e+13,     0.011485040,    0.0036962100,       1264.6830,       188.75400,   9.6124060e+12,       2522.4120,   1.7107480e+23,       22.319000,       6.9300000,   7.9399790e+18,     0.016000000,     0.083000000,     0.085000000,     0.071000000,     0.021612790,   1.4658210e+11,   0.00045491000,   0.00014641000,   1.4658210e+11,       7.4770000,   5.8799020e+11,       3.0201890,   2.0483500e+20,    0.0010000000
2010.09.13_02:12:00_TAI,   3.3618790e+22,       28.622000,       78.289000,       79.012000,       33.766000,     0.040365320,   2.6020870e+13,     0.010727220,    0.0034780600,       1260.8990,       176.81400,   8.1461230e+12,       2525.5580,   1.7051000e+23,       22.413000,       7.2980000,   7.7580060e+18,     0.015000000,     0.081000000,     0.083000000,     0.070000000,     0.021265790,   1.4357340e+11,   0.00045235000,   0.00014667000,   1.4357340e+11,       7.4560000,   5.7593480e+11,       2.8836460,   1.9468590e+20,    0.0010000000
2010.09.13_02:24:00_TAI,   3.3900160e+22,       28.557000,       78.745000,       79.977000,       33.722000,     0.060244310,   2.6839330e+13,     0.011033180,    0.0035845300,       1291.9360,       183.50600,   8.9959660e+12,       2520.3650,   1.7135770e+23,       22.424000,       7.1180000,   7.9338520e+18,     0.016000000,     0.083000000,     0.084000000,     0.071000000,     0.021668210,   1.4732050e+11,   0.00046763000,   0.00015193000,   1.4732050e+11,       7.7780000,   5.9097930e+11,       2.8276510,   1.9224980e+20,    0.0010000000
