T_REC,USFLUX,MEANGAM,MEANGBT,MEANGBZ,MEANGBH,MEANJZD,TOTUSJZ,MEANALP,MEANJZH,TOTUSJH,ABSNJZH,SAVNCPP,MEANPOT,TOTPOT,MEANSHR,SHRGT45,ERRVF,ERRGAM,ERRBT,ERRBZ,ERRBH,ERRJZ,ERRUSI,ERRALP,ERRMIH,ERRUSI,ERRTAI,ERRJHT,ERRMPOT,ERRTPOT,ERRMSHA
2010.11.07_02:12:00_TAI,   3.1614370e+22,       30.389000,       95.232000,       97.823000,       39.632000,      0.19072650,   3.5756710e+13,    0.0070093200,    0.0021409900,       1667.0290,       105.41800,   4.8541520e+12,       2490.3320,   1.6284670e+23,       25.891000,       9.5110000,   7.9500770e+18,     0.017000000,     0.087000000,     0.088000000,     0.082000000,     0.025332640,   1.6565410e+11,   0.00055325000,   0.00016899000,   1.6565410e+11,       8.3210000,   6.4473730e+11,       2.5411050,   1.6616690e+20,    0.0010000000
2010.11.07_02:24:00_TAI,   3.1353910e+22,       30.540000,       96.070000,       98.669000,       39.941000,      0.16887270,   3.5703300e+13,    0.0074869600,    0.0022975900,       1664.8900,       112.07000,   4.2576960e+12,       2495.2620,   1.6163810e+23,       26.080000,       9.7590000,   7.8963260e+18,     0.017000000,     0.088000000,     0.088000000,     0.082000000,     0.025435750,   1.6476770e+11,   0.00054934000,   0.00016859000,   1.6476770e+11,       8.2230000,   6.4129790e+11,       2.4820420,   1.6078170e+20,    0.0010000000
2010.11.07_02:36:00_TAI,   3.1211220e+22,       30.260000,       97.506000,       100.03300,       40.142000,      0.19373538,   3.5753380e+13,    0.0075197600,    0.0023275200,       1673.3670,       112.23800,   4.8293430e+12,       2502.7500,   1.6028850e+23,       25.770000,       9.3150000,   7.9602180e+18,     0.017000000,     0.089000000,     0.089000000,     0.084000000,     0.025923400,   1.6602620e+11,   0.00055637000,   0.00017221000,   1.6602620e+11,       8.3040000,   6.4620610e+11,       2.5862760,   1.6563790e+20,    0.0010000000
2010.11.07_02:48:00_TAI,   3.0786670e+22,       30.592000,       97.843000,       100.56800,       40.593000,      0.19214803,   3.5944680e+13,    0.0075668200,    0.0023637300,       1685.8990,       112.02200,   4.7071060e+12,       2513.2990,   1.5818370e+23,       25.942000,       9.8100000,   7.9318390e+18,     0.017000000,     0.090000000,     0.091000000,     0.085000000,     0.026369700,   1.6596740e+11,   0.00056824000,   0.00017751000,   1.6596740e+11,       8.4130000,   6.4598630e+11,       2.6068650,   1.6407260e+20,    0.0010000000
2010.11.07_03:00:00_TAI,   3.0289880e+22,       30.619000,       98.823000,       101.73000,       40.415000,      0.17953992,   3.5058140e+13,    0.0075926500,    0.0023923700,       1648.1670,       111.18800,   4.3132900e+12,       2541.6460,   1.5687590e+23,       25.973000,       9.7580000,   7.9205750e+18,     0.017000000,     0.092000000,     0.092000000,     0.087000000,     0.026797740,   1.6540150e+11,   0.00057625000,   0.00018157000,   1.6540150e+11,       8.4390000,   6.4379240e+11,       2.6416670,   1.6304950e+20,    0.0010000000
2010.11.07_03:12:00_TAI,   3.0000700e+22,       30.151000,       100.14700,       103.02900,       41.113000,      0.15694013,   3.5494890e+13,    0.0073321800,    0.0023488600,       1684.5590,       106.65500,   3.6837550e+12,       2531.4900,   1.5265850e+23,       25.592000,       8.9370000,   7.8176210e+18,     0.017000000,     0.093000000,     0.093000000,     0.088000000,     0.027196400,   1.6400470e+11,   0.00058662000,   0.00018793000,   1.6400470e+11,       8.5330000,   6.3836370e+11,       2.6492110,   1.5975750e+20,    0.0030000000
2010.11.07_03:24:00_TAI,   2.9538550e+22,       30.407000,       101.65400,       104.80000,       41.406000,      0.14949174,   3.5277360e+13,    0.0083558600,    0.0026774000,       1673.1930,       119.88000,   5.1610770e+12,       2614.4830,   1.5546550e+23,       25.856000,       9.6170000,   7.8367290e+18,     0.017000000,     0.095000000,     0.095000000,     0.090000000,     0.027644060,   1.6438030e+11,   0.00059203000,   0.00018970000,   1.6438030e+11,       8.4940000,   6.3983310e+11,       2.6906310,   1.5999350e+20,    0.0020000000
2010.11.07_03:36:00_TAI,   2.8965620e+22,       30.553000,       101.14000,       104.34600,       41.218000,     0.095588860,   3.4947380e+13,    0.0077750100,    0.0024838200,       1650.1900,       109.46700,   2.9297420e+12,       2634.4410,   1.5419620e+23,       26.086000,       9.8650000,   7.7395760e+18,     0.018000000,     0.095000000,     0.095000000,     0.090000000,     0.027722690,   1.6226340e+11,   0.00059634000,   0.00019051000,   1.6226340e+11,       8.3960000,   6.3159970e+11,       2.7226460,   1.5935890e+20,    0.0010000000
2010.11.07_03:48:00_TAI,   2.8611990e+22,       30.423000,       102.15400,       105.04100,       41.189000,     0.043392790,   3.4248800e+13,    0.0078287600,    0.0025068600,       1622.1030,       108.92600,   3.2807550e+12,       2606.6180,   1.5041450e+23,       25.912000,       9.7030000,   7.5884860e+18,     0.017000000,     0.094000000,     0.094000000,     0.090000000,     0.027610560,   1.5932630e+11,   0.00059922000,   0.00019188000,   1.5932630e+11,       8.3370000,   6.2017300e+11,       2.7081880,   1.5627550e+20,    0.0010000000
2010.11.07_04:00:00_TAI,   2.8416750e+22,       30.415000,       101.97000,       104.93700,       41.180000,     0.069720130,   3.4244200e+13,    0.0069167500,    0.0022125600,       1635.7620,       95.580000,   3.1773440e+12,       2588.0670,   1.4847790e+23,       25.749000,       9.3450000,   7.4741570e+18,     0.017000000,     0.093000000,     0.093000000,     0.089000000,     0.027448130,   1.5747040e+11,   0.00060317000,   0.00019295000,   1.5747040e+11,       8.3350000,   6.1295410e+11,       2.7497020,   1.5775090e+20,    0.0010000000
