T_REC,USFLUX,MEANGAM,MEANGBT,MEANGBZ,MEANGBH,MEANJZD,TOTUSJZ,MEANALP,MEANJZH,TOTUSJH,ABSNJZH,SAVNCPP,MEANPOT,TOTPOT,MEANSHR,SHRGT45,ERRVF,ERRGAM,ERRBT,ERRBZ,ERRBH,ERRJZ,ERRUSI,ERRALP,ERRMIH,ERRUSI,ERRTAI,ERRJHT,ERRMPOT,ERRTPOT,ERRMSHA
2010.10.10_00:00:00_TAI,   1.6399400e+22,       26.817000,       76.645000,       78.565000,       31.527000,    -0.058015560,   1.2668260e+13,     0.012253140,    0.0039961100,       622.41800,       98.416000,   4.1821480e+12,       2155.6630,   7.0511180e+22,       20.911000,       4.0400000,   5.6066650e+18,     0.025000000,      0.12000000,      0.12400000,     0.097000000,     0.029637330,   9.6942920e+10,   0.00057638000,   0.00018797000,   9.6942920e+10,       4.6290000,   3.8299820e+11,       2.4695670,   8.0778890e+19,    0.0030000000
2010.10.10_00:12:00_TAI,   1.6465610e+22,       27.208000,       76.751000,       78.646000,       31.780000,    -0.064674270,   1.2637270e+13,     0.012035800,    0.0038993500,       620.07200,       96.887000,   4.0107520e+12,       2169.9920,   7.1610970e+22,       21.107000,       4.3860000,   5.6929250e+18,     0.026000000,      0.12100000,      0.12500000,     0.099000000,     0.029983610,   9.8947610e+10,   0.00058162000,   0.00018843000,   9.8947610e+10,       4.6820000,   3.9092790e+11,       2.5161990,   8.3036010e+19,    0.0020000000
2010.10.10_00:24:00_TAI,   1.6330020e+22,       27.209000,       77.060000,       79.079000,       31.946000,    -0.036890530,   1.2607130e+13,     0.012818240,    0.0041789900,       620.05200,       102.66100,   4.2850640e+12,       2204.0190,   7.1908460e+22,       21.188000,       4.2460000,   5.6749510e+18,     0.026000000,      0.12200000,      0.12600000,      0.10000000,     0.030276000,   9.8778670e+10,   0.00058980000,   0.00019228000,   9.8778670e+10,       4.7240000,   3.9026980e+11,       2.5864620,   8.4386060e+19,    0.0040000000
2010.10.10_00:36:00_TAI,   1.6415360e+22,       26.969000,       76.713000,       78.607000,       31.747000,    -0.021967080,   1.2621910e+13,     0.013094200,    0.0042612200,       624.53400,       105.17100,   4.8246760e+12,       2169.6580,   7.1115900e+22,       20.878000,       3.9460000,   5.6360160e+18,     0.025000000,      0.12000000,      0.12400000,     0.098000000,     0.029908970,   9.8034030e+10,   0.00058240000,   0.00018952000,   9.8034030e+10,       4.6780000,   3.8733720e+11,       2.4777050,   8.1212890e+19,    0.0020000000
2010.10.10_00:48:00_TAI,   1.6443160e+22,       26.924000,       76.759000,       78.661000,       31.990000,    -0.038193540,   1.2804640e+13,     0.013523700,    0.0044011600,       632.36200,       108.77500,   4.6231840e+12,       2173.6650,   7.1348250e+22,       20.999000,       4.0990000,   5.6524220e+18,     0.025000000,      0.12100000,      0.12500000,     0.099000000,     0.029917990,   9.8202650e+10,   0.00058478000,   0.00019030000,   9.8202650e+10,       4.7030000,   3.8801270e+11,       2.4660070,   8.0944080e+19,    0.0050000000
2010.10.10_01:00:00_TAI,   1.6448940e+22,       26.751000,       78.740000,       80.770000,       32.690000,    -0.041570810,   1.2788690e+13,     0.014098970,    0.0046524800,       638.37000,       114.11100,   5.2023250e+12,       2193.7270,   7.1456130e+22,       20.892000,       3.5350000,   5.5864010e+18,     0.024000000,      0.12000000,      0.12400000,     0.098000000,     0.029920310,   9.7459260e+10,   0.00057975000,   0.00019130000,   9.7459260e+10,       4.6920000,   3.8508470e+11,       2.4505970,   7.9823150e+19,    0.0030000000
2010.10.10_01:12:00_TAI,   1.6442610e+22,       26.760000,       79.381000,       81.610000,       33.095000,    -0.086153520,   1.2792640e+13,     0.013380160,    0.0044340900,       631.86700,       108.47100,   4.7142090e+12,       2199.6630,   7.1465450e+22,       20.951000,       3.8550000,   5.5999300e+18,     0.024000000,      0.12100000,      0.12500000,     0.098000000,     0.030080700,   9.7730020e+10,   0.00058327000,   0.00019329000,   9.7730020e+10,       4.7280000,   3.8616370e+11,       2.4523130,   7.9673880e+19,    0.0050000000
2010.10.10_01:24:00_TAI,   1.6524580e+22,       26.521000,       79.370000,       80.949000,       32.315000,    -0.075949150,   1.2775070e+13,     0.012856200,    0.0042683500,       635.02200,       104.77100,   4.4645310e+12,       2201.4440,   7.1771850e+22,       20.729000,       3.8210000,   5.5383380e+18,     0.024000000,      0.12000000,      0.12300000,     0.098000000,     0.029729790,   9.6925530e+10,   0.00058980000,   0.00019582000,   9.6925530e+10,       4.8060000,   3.8299380e+11,       2.4061120,   7.8444470e+19,    0.0050000000
2010.10.10_01:36:00_TAI,   1.6706310e+22,       26.656000,       79.141000,       81.170000,       31.907000,    -0.041658520,   1.3135820e+13,     0.013422740,    0.0043960700,       644.98400,       110.07700,   4.9891050e+12,       2140.6930,   7.1187100e+22,       20.841000,       3.5460000,   5.6684230e+18,     0.025000000,      0.12000000,      0.12400000,     0.099000000,     0.029960060,   9.9629880e+10,   0.00058869000,   0.00019280000,   9.9629880e+10,       4.8280000,   3.9368880e+11,       2.4038820,   7.9939250e+19,    0.0050000000
2010.10.10_01:48:00_TAI,   1.6554830e+22,       26.573000,       79.929000,       82.352000,       32.707000,    -0.049977970,   1.2837600e+13,     0.012962040,    0.0043203700,       632.19900,       105.98700,   5.1477640e+12,       2188.3130,   7.1294350e+22,       20.819000,       3.7010000,   5.4902960e+18,     0.024000000,      0.11900000,      0.12200000,     0.098000000,     0.029677740,   9.6688840e+10,   0.00058100000,   0.00019365000,   9.6688840e+10,       4.7510000,   3.8207590e+11,       2.3907630,   7.7890060e+19,    0.0070000000
2010.10.10_02:00:00_TAI,   1.6430610e+22,       26.640000,       80.352000,       82.475000,       32.377000,     0.033491760,   1.2650220e+13,     0.013241450,    0.0044565500,       634.55700,       108.04000,   5.1241020e+12,       2202.7090,   7.0920860e+22,       20.955000,       3.9180000,   5.4394890e+18,     0.023000000,      0.11900000,      0.12300000,     0.099000000,     0.029982270,   9.6534250e+10,   0.00058733000,   0.00019767000,   9.6534250e+10,       4.7920000,   3.8147330e+11,       2.4385760,   7.8515110e+19,    0.0060000000
2010.10.10_02:12:00_TAI,   1.6571150e+22,       26.900000,       81.333000,       83.972000,       33.093000,   -0.0066741300,   1.3200660e+13,     0.012946460,    0.0043408700,       656.71500,       106.42900,   4.9509020e+12,       2229.2810,   7.2590550e+22,       21.214000,       4.4580000,   5.5997390e+18,     0.024000000,      0.12000000,      0.12500000,      0.10000000,     0.030423880,   9.9067200e+10,   0.00059584000,   0.00019978000,   9.9067200e+10,       4.8980000,   3.9149110e+11,       2.4999150,   8.1403020e+19,    0.0050000000
2010.10.10_02:24:00_TAI,   1.6758310e+22,       26.668000,       81.738000,       84.042000,       32.982000,     0.012795620,   1.3255870e+13,     0.013496720,    0.0045490600,       664.79600,       112.33900,   5.7209480e+12,       2213.4970,   7.2593990e+22,       20.971000,       3.8710000,   5.6114660e+18,     0.024000000,      0.12000000,      0.12400000,      0.10000000,     0.030359440,   9.9566990e+10,   0.00059490000,   0.00020051000,   9.9566990e+10,       4.9520000,   3.9347410e+11,       2.4384470,   7.9971440e+19,    0.0050000000
2010.10.10_02:36:00_TAI,   1.6789700e+22,       26.456000,       82.775000,       84.597000,       33.338000,   -0.0073328600,   1.3585180e+13,     0.014445580,    0.0049521200,       682.66400,       121.31700,   6.5091440e+12,       2210.3930,   7.1913870e+22,       20.942000,       3.7880000,   5.6268080e+18,     0.024000000,      0.12200000,      0.12500000,      0.10100000,     0.030822540,   1.0027940e+11,   0.00060020000,   0.00020576000,   1.0027940e+11,       5.0410000,   3.9629720e+11,       2.4424000,   7.9462080e+19,    0.0020000000
2010.10.10_02:48:00_TAI,   1.6679710e+22,       26.420000,       84.036000,       85.824000,       33.553000,    0.0043072600,   1.3513160e+13,     0.013133160,    0.0045622200,       684.94700,       110.32400,   5.0875620e+12,       2256.6270,   7.2477060e+22,       21.022000,       3.9570000,   5.5401260e+18,     0.023000000,      0.12200000,      0.12500000,      0.10200000,     0.030942180,   9.9378340e+10,   0.00059912000,   0.00020812000,   9.9378340e+10,       5.0330000,   3.9274370e+11,       2.4920130,   8.0037050e+19,    0.0030000000
2010.10.10_03:00:00_TAI,   1.6528780e+22,       26.696000,       84.604000,       86.503000,       34.627000,    -0.010413980,   1.3647260e+13,     0.013694140,    0.0048173400,       698.24500,       114.80700,   5.4037900e+12,       2302.0560,   7.2863040e+22,       21.122000,       3.9110000,   5.5040160e+18,     0.024000000,      0.12300000,      0.12600000,      0.10400000,     0.031337180,   9.9186210e+10,   0.00060389000,   0.00021243000,   9.9186210e+10,       5.0630000,   3.9199140e+11,       2.5214170,   7.9806080e+19,    0.0040000000
2010.10.10_03:12:00_TAI,   1.6303510e+22,       26.657000,       86.290000,       88.603000,       34.859000,     0.018979280,   1.3407300e+13,     0.014280530,    0.0051478200,       694.58700,       119.26000,   5.4096880e+12,       2374.9740,   7.3070370e+22,       21.171000,       4.0790000,   5.5218160e+18,     0.023000000,      0.12600000,      0.13000000,      0.10700000,     0.032288560,   9.9341580e+10,   0.00062029000,   0.00022360000,   9.9341580e+10,       5.1800000,   3.9261210e+11,       2.6445770,   8.1365190e+19,    0.0050000000
