Date_obs,MCDz,errMCDz,MCHz,errMCHz,TCHz,errTCHz,ABSNCHz,errABSNCHz,USFz,errUSFz,Brhdr.T_REC,Brhdr.Meanjzd,Brhdr.errjz,Brhdr.meanjzh,Brhdr.errmih,Brhdr.totusjh,Brhdr.errtui,Brhdr.absnjzh,Brhdr.errtai,Brhdr.usflux,Brhdr.errvf
2010.11.07_00:00:00_TAI,     -0.36312533,      0.46411320,   0.00024156899,   0.00051504171,      0.20315952,      0.43315008,       4.6799460,      0.43315008,   7.4700233e+19,   3.0112406e+18,2010.11.07_00:00:00_TAI,      0.14717588,     0.022835250,    0.0019484600,   0.00014419000,       1631.2910,      7.45800,      100.782,      7.45800,   3.2461400e+22,   7.7100590e+18
2010.11.07_00:12:00_TAI,      0.11620363,      0.45166020,   7.1097180e-05,   0.00052086843,     0.059792728,      0.43805035,       5.3033894,      0.43805035,   7.8701365e+19,   2.9227447e+18,2010.11.07_00:12:00_TAI,      0.15947382,     0.022879590,    0.0019673400,   0.00014441000,       1616.8390,      7.45400,      101.550,      7.45400,   3.2405820e+22,   7.7071600e+18
2010.11.07_00:24:00_TAI,     0.066778022,      0.43221300,  -0.00065395799,   0.00050191153,      0.54997867,      0.42210760,       5.6327045,      0.42210760,   7.3529735e+19,   2.7669447e+18,2010.11.07_00:24:00_TAI,      0.19521242,     0.022821460,    0.0019006000,   0.00014285000,       1619.2760,      7.44700,      99.0840,      7.44700,   3.2500950e+22,   7.7527000e+18
2010.11.07_00:36:00_TAI,    -0.066605344,       1.0495395,   0.00028960144,    0.0011644335,      0.24355481,      0.97928860,       4.8366295,      0.97928860,   7.1954037e+19,   6.8956328e+18,2010.11.07_00:36:00_TAI,      0.17022979,     0.022702680,    0.0018067000,   0.00014357000,       1616.4870,      7.44300,      93.6550,      7.44300,   3.2509650e+22,   7.6497750e+18
2010.11.07_00:48:00_TAI,     0.078494694,      0.42083488,   0.00049846807,   0.00051174266,      0.41921165,      0.43037557,       5.7093381,      0.43037557,   8.0287342e+19,   2.7627489e+18,2010.11.07_00:48:00_TAI,      0.17305969,     0.022889550,    0.0015735300,   0.00014547000,       1629.1050,      7.51200,      81.2590,      7.51200,   3.2428990e+22,   7.6707640e+18
2010.11.07_01:00:00_TAI,     -0.36895835,      0.45737073,   0.00014052914,   0.00054764070,      0.11818500,      0.46056583,       5.6560506,      0.46056583,   7.8558109e+19,   2.9838955e+18,2010.11.07_01:00:00_TAI,      0.19622740,     0.023072720,    0.0020939200,   0.00014764000,       1618.4730,      7.61900,      108.050,      7.61900,   3.2382500e+22,   7.6989340e+18
2010.11.07_01:12:00_TAI,     0.015697138,      0.43276697,  -0.00030143058,   0.00049659283,      0.25350312,      0.41763457,       5.3506541,      0.41763457,   7.6902130e+19,   2.7472118e+18,2010.11.07_01:12:00_TAI,      0.18162611,     0.023400180,    0.0021320900,   0.00014792000,       1611.8450,      7.60700,      109.649,      7.60700,   3.2248450e+22,   7.7715630e+18
2010.11.07_01:24:00_TAI,    -0.077635258,      0.45485065,   -0.0010614069,   0.00060245032,      0.89264320,      0.50666072,       6.9267768,      0.50666072,   8.9011716e+19,   2.9655381e+18,2010.11.07_01:24:00_TAI,      0.19740263,     0.023686710,    0.0020141400,   0.00015164000,       1633.1860,      7.75900,      103.062,      7.75900,   3.2178980e+22,   7.8149040e+18
2010.11.07_01:36:00_TAI,     -0.36450536,      0.42935137,   7.7847572e-05,   0.00051050377,     0.065469808,      0.42933367,       5.5166719,      0.42933367,   8.2137865e+19,   2.7335307e+18,2010.11.07_01:36:00_TAI,      0.20858796,     0.023968480,    0.0022485600,   0.00015399000,       1634.9950,      7.82800,      114.306,      7.82800,   3.2097190e+22,   7.8396060e+18
2010.11.07_01:48:00_TAI,      0.11851713,      0.45198578,   0.00010940588,   0.00052779507,     0.092010346,      0.44387565,       5.3475383,      0.44387565,   7.9375148e+19,   2.8990010e+18,2010.11.07_01:48:00_TAI,      0.18403684,     0.024257840,    0.0020989000,   0.00015754000,       1653.6960,      7.95300,      105.954,      7.95300,   3.1930360e+22,   7.8628050e+18
