Date_obs,MCDz,errMCDz,MCHz,errMCHz,TCHz,errTCHz,ABSNCHz,errABSNCHz,USFz,errUSFz,Brhdr.T_REC,Brhdr.Meanjzd,Brhdr.errjz,Brhdr.meanjzh,Brhdr.errmih,Brhdr.totusjh,Brhdr.errtui,Brhdr.absnjzh,Brhdr.errtai,Brhdr.usflux,Brhdr.errvf
2010.11.07_00:00:00_TAI,     0.012006213,      0.50167768,   2.0069670e-06,   0.00058648036,    0.0016878593,      0.49322998,       5.6166046,      0.49322998,   7.9469373e+19,   3.0546766e+18,2010.11.07_00:00:00_TAI,      0.14717588,     0.022835250,    0.0019484600,   0.00014419000,       1631.2910,      7.45800,      100.782,      7.45800,   3.2461400e+22,   7.7100590e+18
2010.11.07_00:12:00_TAI,    -0.070453341,      0.48599105,  -0.00041396915,   0.00061828477,      0.34814806,      0.51997749,       6.0973462,      0.51997749,   8.4522263e+19,   3.3714634e+18,2010.11.07_00:12:00_TAI,      0.15947382,     0.022879590,    0.0019673400,   0.00014441000,       1616.8390,      7.45400,      101.550,      7.45400,   3.2405820e+22,   7.7071600e+18
2010.11.07_00:24:00_TAI,      0.25705323,      0.46205760,   0.00034766646,   0.00055007669,      0.29238749,      0.46261450,       5.7428658,      0.46261450,   7.8582279e+19,   2.8638440e+18,2010.11.07_00:24:00_TAI,      0.19521242,     0.022821460,    0.0019006000,   0.00014285000,       1619.2760,      7.44700,      99.0840,      7.44700,   3.2500950e+22,   7.7527000e+18
2010.11.07_00:36:00_TAI,     0.011161038,      0.45840881,   0.00014851764,   0.00056334670,      0.12490333,      0.47377458,       5.9757907,      0.47377458,   7.5745072e+19,   2.9217455e+18,2010.11.07_00:36:00_TAI,      0.17022979,     0.022702680,    0.0018067000,   0.00014357000,       1616.4870,      7.44300,      93.6550,      7.44300,   3.2509650e+22,   7.6497750e+18
2010.11.07_00:48:00_TAI,      0.56891850,      0.44832026,   0.00022624606,   0.00056642106,      0.19027294,      0.47636011,       6.4135930,      0.47636011,   8.6535418e+19,   2.7946065e+18,2010.11.07_00:48:00_TAI,      0.17305969,     0.022889550,    0.0015735300,   0.00014547000,       1629.1050,      7.51200,      81.2590,      7.51200,   3.2428990e+22,   7.6707640e+18
2010.11.07_01:00:00_TAI,     -0.31063452,      0.43939256,   0.00048412951,   0.00053842036,      0.40715292,      0.45281152,       6.5335018,      0.45281152,   8.2876178e+19,   2.7572416e+18,2010.11.07_01:00:00_TAI,      0.19622740,     0.023072720,    0.0020939200,   0.00014764000,       1618.4730,      7.61900,      108.050,      7.61900,   3.2382500e+22,   7.6989340e+18
2010.11.07_01:12:00_TAI,      0.16353910,      0.43328287,   0.00077487284,   0.00053580419,      0.65166806,      0.45061132,       6.6789141,      0.45061132,   8.0329042e+19,   2.6959161e+18,2010.11.07_01:12:00_TAI,      0.18162611,     0.023400180,    0.0021320900,   0.00014792000,       1611.8450,      7.60700,      109.649,      7.60700,   3.2248450e+22,   7.7715630e+18
2010.11.07_01:24:00_TAI,      0.27941816,      0.45220349,   0.00031208192,   0.00054566122,      0.26246089,      0.45890108,       6.2122203,      0.45890108,   7.9876658e+19,   2.8318541e+18,2010.11.07_01:24:00_TAI,      0.19740263,     0.023686710,    0.0020141400,   0.00015164000,       1633.1860,      7.75900,      103.062,      7.75900,   3.2178980e+22,   7.8149040e+18
2010.11.07_01:36:00_TAI,      0.19076203,      0.45324409,   0.00073559125,   0.00060164877,      0.61863224,      0.50598661,       6.5218235,      0.50598661,   8.7066277e+19,   3.3131218e+18,2010.11.07_01:36:00_TAI,      0.20858796,     0.023968480,    0.0022485600,   0.00015399000,       1634.9950,      7.82800,      114.306,      7.82800,   3.2097190e+22,   7.8396060e+18
2010.11.07_01:48:00_TAI,     -0.16112305,      0.42365400,   0.00050936750,   0.00053060240,      0.42837807,      0.44623662,       6.0612568,      0.44623662,   7.9774531e+19,   2.6177425e+18,2010.11.07_01:48:00_TAI,      0.18403684,     0.024257840,    0.0020989000,   0.00015754000,       1653.6960,      7.95300,      105.954,      7.95300,   3.1930360e+22,   7.8628050e+18
