Date_obs,MCDz,errMCDz,MCHz,errMCHz,TCHz,errTCHz,ABSNCHz,errABSNCHz,USFz,errUSFz,Brhdr.T_REC,Brhdr.Meanjzd,Brhdr.errjz,Brhdr.meanjzh,Brhdr.errmih,Brhdr.totusjh,Brhdr.errtui,Brhdr.absnjzh,Brhdr.errtai,Brhdr.usflux,Brhdr.errvf
2010.11.07_00:00:00_TAI,      0.23349778,      0.38801816,  -0.00040895280,   0.00055767034,      0.34392930,      0.46900076,       6.4410982,      0.46900076,   1.2723866e+20,   2.5881419e+18,2010.11.07_00:00:00_TAI,      0.14717588,     0.022835250,    0.0019484600,   0.00014419000,       1631.2910,      7.45800,      100.782,      7.45800,   3.2461400e+22,   7.7100590e+18
2010.11.07_00:12:00_TAI,      0.14982308,      0.38210421,  -0.00029512705,   0.00054315083,      0.24820185,      0.45678985,       6.1818089,      0.45678985,   1.2456545e+20,   2.5509270e+18,2010.11.07_00:12:00_TAI,      0.15947382,     0.022879590,    0.0019673400,   0.00014441000,       1616.8390,      7.45400,      101.550,      7.45400,   3.2405820e+22,   7.7071600e+18
2010.11.07_00:24:00_TAI,      0.47250016,      0.40440807,  -0.00059645920,   0.00055533386,      0.50162219,      0.46703578,       6.7779074,      0.46703578,   1.1631745e+20,   2.6539916e+18,2010.11.07_00:24:00_TAI,      0.19521242,     0.022821460,    0.0019006000,   0.00014285000,       1619.2760,      7.44700,      99.0840,      7.44700,   3.2500950e+22,   7.7527000e+18
2010.11.07_00:36:00_TAI,     0.016872029,      0.40988133,  -4.6939595e-05,   0.00056136196,     0.039476200,      0.47210541,       6.6217451,      0.47210541,   1.2075163e+20,   2.7376507e+18,2010.11.07_00:36:00_TAI,      0.17022979,     0.022702680,    0.0018067000,   0.00014357000,       1616.4870,      7.44300,      93.6550,      7.44300,   3.2509650e+22,   7.6497750e+18
2010.11.07_00:48:00_TAI,      0.53771379,      0.40369591,   -0.0010556150,   0.00058413472,      0.88777224,      0.49125730,       7.1291903,      0.49125730,   1.2661540e+20,   2.6730540e+18,2010.11.07_00:48:00_TAI,      0.17305969,     0.022889550,    0.0015735300,   0.00014547000,       1629.1050,      7.51200,      81.2590,      7.51200,   3.2428990e+22,   7.6707640e+18
2010.11.07_01:00:00_TAI,      0.18391898,      0.42910796,  -0.00031195546,   0.00059172466,      0.26235454,      0.49764044,       6.0707577,      0.49764044,   1.2290141e+20,   2.8154961e+18,2010.11.07_01:00:00_TAI,      0.19622740,     0.023072720,    0.0020939200,   0.00014764000,       1618.4730,      7.61900,      108.050,      7.61900,   3.2382500e+22,   7.6989340e+18
2010.11.07_01:12:00_TAI,      0.25860463,      0.41941026,  -0.00028469461,   0.00055993109,      0.23942817,      0.47090205,       5.6847291,      0.47090205,   1.1680783e+20,   2.7887440e+18,2010.11.07_01:12:00_TAI,      0.18162611,     0.023400180,    0.0021320900,   0.00014792000,       1611.8450,      7.60700,      109.649,      7.60700,   3.2248450e+22,   7.7715630e+18
2010.11.07_01:24:00_TAI,      0.43491198,      0.41149646,  -0.00060437608,   0.00055210153,      0.50828028,      0.46431739,       6.2417355,      0.46431739,   1.1412247e+20,   2.6767233e+18,2010.11.07_01:24:00_TAI,      0.19740263,     0.023686710,    0.0020141400,   0.00015164000,       1633.1860,      7.75900,      103.062,      7.75900,   3.2178980e+22,   7.8149040e+18
2010.11.07_01:36:00_TAI,      0.27648150,      0.43748395,  -0.00046467251,   0.00058178784,      0.39078958,      0.48928357,       6.6491330,      0.48928357,   1.1290707e+20,   2.8441239e+18,2010.11.07_01:36:00_TAI,      0.20858796,     0.023968480,    0.0022485600,   0.00015399000,       1634.9950,      7.82800,      114.306,      7.82800,   3.2097190e+22,   7.8396060e+18
2010.11.07_01:48:00_TAI,      0.40793438,      0.40202912,  -0.00045324600,   0.00059043714,      0.38117988,      0.49655764,       7.0380391,      0.49655764,   1.2547668e+20,   2.6281753e+18,2010.11.07_01:48:00_TAI,      0.18403684,     0.024257840,    0.0020989000,   0.00015754000,       1653.6960,      7.95300,      105.954,      7.95300,   3.1930360e+22,   7.8628050e+18
2010.11.07_02:00:00_TAI,      0.12462538,      0.38497999,   -0.0015711950,   0.00056603270,       1.3213750,      0.47603350,       7.5529610,      0.47603350,   1.2561773e+20,   2.5019867e+18,2010.11.07_02:00:00_TAI,      0.17604235,     0.024755300,    0.0022596200,   0.00016179000,       1656.4440,      8.06000,      112.563,      8.06000,   3.1708280e+22,   7.8884700e+18
2010.11.07_02:12:00_TAI,      0.49892472,      0.40257287,   -0.0010650794,   0.00057235883,      0.89573174,      0.48135378,       7.4336623,      0.48135378,   1.1718301e+20,   2.6922704e+18,2010.11.07_02:12:00_TAI,      0.19072650,     0.025332640,    0.0021409900,   0.00016899000,       1667.0290,      8.32100,      105.418,      8.32100,   3.1614370e+22,   7.9500770e+18
2010.11.07_02:24:00_TAI,      0.55403797,      0.36732542,  -0.00057308562,   0.00052591776,      0.48196500,      0.44229683,       6.5818625,      0.44229683,   1.1474376e+20,   2.3787655e+18,2010.11.07_02:24:00_TAI,      0.16887270,     0.025435750,    0.0022975900,   0.00016859000,       1664.8900,      8.22300,      112.070,      8.22300,   3.1353910e+22,   7.8963260e+18
2010.11.07_02:36:00_TAI,    -0.052232451,      0.38221851,  -0.00075200638,   0.00053998586,      0.63243737,      0.45412811,       6.6461843,      0.45412811,   1.1433582e+20,   2.4615718e+18,2010.11.07_02:36:00_TAI,      0.19373538,     0.025923400,    0.0023275200,   0.00017221000,       1673.3670,      8.30400,      112.238,      8.30400,   3.1211220e+22,   7.9602180e+18
2010.11.07_02:48:00_TAI,      0.45516985,      0.45925680,  -0.00026840319,   0.00061902015,      0.22572708,      0.52059594,       7.8155133,      0.52059594,   1.1203392e+20,   3.2189173e+18,2010.11.07_02:48:00_TAI,      0.19214803,     0.026369700,    0.0023637300,   0.00017751000,       1685.8990,      8.41300,      112.022,      8.41300,   3.0786670e+22,   7.9318390e+18
2010.11.07_03:00:00_TAI,      0.20741988,      0.40952534,  -0.00029730634,   0.00055932238,      0.25003463,      0.47039012,       7.0844807,      0.47039012,   1.0710417e+20,   2.6346010e+18,2010.11.07_03:00:00_TAI,      0.17953992,     0.026797740,    0.0023923700,   0.00018157000,       1648.1670,      8.43900,      111.188,      8.43900,   3.0289880e+22,   7.9205750e+18
2010.11.07_03:12:00_TAI,   -0.0096732521,      0.41168262,  -0.00075878464,   0.00053483649,      0.63813788,      0.44979749,       7.2646252,      0.44979749,   1.0002657e+20,   2.7946154e+18,2010.11.07_03:12:00_TAI,      0.15694013,     0.027196400,    0.0023488600,   0.00018793000,       1684.5590,      8.53300,      106.655,      8.53300,   3.0000700e+22,   7.8176210e+18
2010.11.07_03:24:00_TAI,      0.32969412,      0.40977635,   0.00060557393,   0.00057919322,      0.50928768,      0.48710150,       7.0742314,      0.48710150,   1.0723005e+20,   2.6349521e+18,2010.11.07_03:24:00_TAI,      0.14949174,     0.027644060,    0.0026774000,   0.00018970000,       1673.1930,      8.49400,      119.880,      8.49400,   2.9538550e+22,   7.8367290e+18
2010.11.07_03:36:00_TAI,      0.96532703,      0.37473987,  -0.00033519509,   0.00052662610,      0.28189907,      0.44289255,       7.6985462,      0.44289255,   1.1100440e+20,   2.4034019e+18,2010.11.07_03:36:00_TAI,     0.095588860,     0.027722690,    0.0024838200,   0.00019051000,       1650.1900,      8.39600,      109.467,      8.39600,   2.8965620e+22,   7.7395760e+18
2010.11.07_03:48:00_TAI,      0.95690010,      0.32948844,   -0.0012566315,   0.00045334422,       1.0568271,      0.38126249,       7.3031866,      0.38126249,   1.0543055e+20,   2.1377270e+18,2010.11.07_03:48:00_TAI,     0.043392790,     0.027610560,    0.0025068600,   0.00019188000,       1622.1030,      8.33700,      108.926,      8.33700,   2.8611990e+22,   7.5884860e+18
