Date_obs,MCDz,errMCDz,MCHz,errMCHz,TCHz,errTCHz,ABSNCHz,errABSNCHz,USFz,errUSFz,Brhdr.T_REC,Brhdr.Meanjzd,Brhdr.errjz,Brhdr.meanjzh,Brhdr.errmih,Brhdr.totusjh,Brhdr.errtui,Brhdr.absnjzh,Brhdr.errtai,Brhdr.usflux,Brhdr.errvf
2010.11.07_00:00:00_TAI,     -0.50557826,      0.42708592,    0.0010899435,   0.00065563677,      0.91664251,      0.55139053,       7.1699550,      0.55139053,   1.7632370e+20,   3.0070815e+18,2010.11.07_00:00:00_TAI,      0.14717588,     0.022835250,    0.0019484600,   0.00014419000,       1631.2910,      7.45800,      100.782,      7.45800,   3.2461400e+22,   7.7100590e+18
2010.11.07_00:12:00_TAI,     -0.49357334,      0.36368584,   0.00082770188,   0.00061037047,      0.69609728,      0.51332156,       8.3803790,      0.51332156,   1.8271665e+20,   2.4748169e+18,2010.11.07_00:12:00_TAI,      0.15947382,     0.022879590,    0.0019673400,   0.00014441000,       1616.8390,      7.45400,      101.550,      7.45400,   3.2405820e+22,   7.7071600e+18
2010.11.07_00:24:00_TAI,     -0.52373945,      0.37370886,    0.0014410891,   0.00061645640,       1.2119560,      0.51843983,       7.4637538,      0.51843983,   1.7343249e+20,   2.5769573e+18,2010.11.07_00:24:00_TAI,      0.19521242,     0.022821460,    0.0019006000,   0.00014285000,       1619.2760,      7.44700,      99.0840,      7.44700,   3.2500950e+22,   7.7527000e+18
2010.11.07_00:36:00_TAI,      -1.1191448,      0.37339059,    0.0015961029,   0.00061072287,       1.3423225,      0.51361794,       7.7254709,      0.51361794,   1.7435986e+20,   2.5276100e+18,2010.11.07_00:36:00_TAI,      0.17022979,     0.022702680,    0.0018067000,   0.00014357000,       1616.4870,      7.44300,      93.6550,      7.44300,   3.2509650e+22,   7.6497750e+18
2010.11.07_00:48:00_TAI,     -0.56650375,      0.40010851,    0.0011525863,   0.00060362729,      0.96932512,      0.50765055,       6.8811922,      0.50765055,   1.7138086e+20,   2.6886941e+18,2010.11.07_00:48:00_TAI,      0.17305969,     0.022889550,    0.0015735300,   0.00014547000,       1629.1050,      7.51200,      81.2590,      7.51200,   3.2428990e+22,   7.6707640e+18
2010.11.07_01:00:00_TAI,     -0.49987634,      0.39503182,    0.0013598816,   0.00062435275,       1.1436605,      0.52508066,       7.7309294,      0.52508066,   1.7035619e+20,   2.7352019e+18,2010.11.07_01:00:00_TAI,      0.19622740,     0.023072720,    0.0020939200,   0.00014764000,       1618.4730,      7.61900,      108.050,      7.61900,   3.2382500e+22,   7.6989340e+18
2010.11.07_01:12:00_TAI,     -0.77065335,      0.39652532,    0.0018957171,   0.00064477262,       1.5942981,      0.54225377,       7.8926673,      0.54225377,   1.7139855e+20,   2.6126743e+18,2010.11.07_01:12:00_TAI,      0.18162611,     0.023400180,    0.0021320900,   0.00014792000,       1611.8450,      7.60700,      109.649,      7.60700,   3.2248450e+22,   7.7715630e+18
2010.11.07_01:24:00_TAI,    -0.098973271,      0.43141339,   0.00069194318,   0.00070049703,      0.58192421,      0.58911800,       7.7106529,      0.58911800,   1.7697214e+20,   3.0365196e+18,2010.11.07_01:24:00_TAI,      0.19740263,     0.023686710,    0.0020141400,   0.00015164000,       1633.1860,      7.75900,      103.062,      7.75900,   3.2178980e+22,   7.8149040e+18
2010.11.07_01:36:00_TAI,     -0.71498185,      0.38513972,    0.0014924237,   0.00062122852,       1.2551284,      0.52245319,       7.6216637,      0.52245319,   1.7074139e+20,   2.5709600e+18,2010.11.07_01:36:00_TAI,      0.20858796,     0.023968480,    0.0022485600,   0.00015399000,       1634.9950,      7.82800,      114.306,      7.82800,   3.2097190e+22,   7.8396060e+18
2010.11.07_01:48:00_TAI,     -0.53271554,      0.39387110,    0.0011895492,   0.00065506570,       1.0004108,      0.55091025,       7.8779173,      0.55091025,   1.7187372e+20,   2.6701360e+18,2010.11.07_01:48:00_TAI,      0.18403684,     0.024257840,    0.0020989000,   0.00015754000,       1653.6960,      7.95300,      105.954,      7.95300,   3.1930360e+22,   7.8628050e+18
2010.11.07_02:00:00_TAI,     -0.89903714,      0.35664406,   0.00024652894,   0.00060027385,      0.20733084,      0.50483031,       8.4205486,      0.50483031,   1.7440248e+20,   2.4896763e+18,2010.11.07_02:00:00_TAI,      0.17604235,     0.024755300,    0.0022596200,   0.00016179000,       1656.4440,      8.06000,      112.563,      8.06000,   3.1708280e+22,   7.8884700e+18
2010.11.07_02:12:00_TAI,     -0.80906463,      0.40639325,    0.0018275368,   0.00066704924,       1.5369585,      0.56098841,       8.5855992,      0.56098841,   1.7459065e+20,   2.7121118e+18,2010.11.07_02:12:00_TAI,      0.19072650,     0.025332640,    0.0021409900,   0.00016899000,       1667.0290,      8.32100,      105.418,      8.32100,   3.1614370e+22,   7.9500770e+18
2010.11.07_02:24:00_TAI,     -0.87356681,      0.36704222,    0.0016157421,   0.00062348146,       1.3588391,      0.52434791,       8.7631170,      0.52434791,   1.7131382e+20,   2.4885582e+18,2010.11.07_02:24:00_TAI,      0.16887270,     0.025435750,    0.0022975900,   0.00016859000,       1664.8900,      8.22300,      112.070,      8.22300,   3.1353910e+22,   7.8963260e+18
2010.11.07_02:36:00_TAI,     -0.72045916,      0.39091178,    0.0010557960,   0.00063362032,      0.88792447,      0.53287469,       8.0813340,      0.53287469,   1.6321225e+20,   2.6737058e+18,2010.11.07_02:36:00_TAI,      0.19373538,     0.025923400,    0.0023275200,   0.00017221000,       1673.3670,      8.30400,      112.238,      8.30400,   3.1211220e+22,   7.9602180e+18
2010.11.07_02:48:00_TAI,     -0.49427180,      0.39612125,   0.00070357761,   0.00061120571,      0.59170877,      0.51402400,       7.7949828,      0.51402400,   1.6640464e+20,   2.5595910e+18,2010.11.07_02:48:00_TAI,      0.19214803,     0.026369700,    0.0023637300,   0.00017751000,       1685.8990,      8.41300,      112.022,      8.41300,   3.0786670e+22,   7.9318390e+18
2010.11.07_03:00:00_TAI,     -0.11343448,      0.37252853,   3.0348949e-05,   0.00057429542,     0.025523466,      0.48298245,       9.1844627,      0.48298245,   1.5265457e+20,   2.4219921e+18,2010.11.07_03:00:00_TAI,      0.17953992,     0.026797740,    0.0023923700,   0.00018157000,       1648.1670,      8.43900,      111.188,      8.43900,   3.0289880e+22,   7.9205750e+18
2010.11.07_03:12:00_TAI,     -0.52862736,      0.37462543,    0.0013619554,   0.00059767429,       1.1454045,      0.50264408,       9.1387548,      0.50264408,   1.5917161e+20,   2.5184375e+18,2010.11.07_03:12:00_TAI,      0.15694013,     0.027196400,    0.0023488600,   0.00018793000,       1684.5590,      8.53300,      106.655,      8.53300,   3.0000700e+22,   7.8176210e+18
2010.11.07_03:24:00_TAI,      -1.0237716,      0.34311978,    0.0016294713,   0.00055485650,       1.3703854,      0.46663432,       8.0842604,      0.46663432,   1.5354054e+20,   2.2822366e+18,2010.11.07_03:24:00_TAI,      0.14949174,     0.027644060,    0.0026774000,   0.00018970000,       1673.1930,      8.49400,      119.880,      8.49400,   2.9538550e+22,   7.8367290e+18
2010.11.07_03:36:00_TAI,     -0.81525467,      0.34249395,    0.0013660274,   0.00052513529,       1.1488291,      0.44163878,       7.8108261,      0.44163878,   1.4994171e+20,   2.2770727e+18,2010.11.07_03:36:00_TAI,     0.095588860,     0.027722690,    0.0024838200,   0.00019051000,       1650.1900,      8.39600,      109.467,      8.39600,   2.8965620e+22,   7.7395760e+18
2010.11.07_03:48:00_TAI,     -0.70841271,      0.33444775,   0.00064074647,   0.00052581272,      0.53886778,      0.44220850,       8.1469072,      0.44220850,   1.4564703e+20,   2.2881612e+18,2010.11.07_03:48:00_TAI,     0.043392790,     0.027610560,    0.0025068600,   0.00019188000,       1622.1030,      8.33700,      108.926,      8.33700,   2.8611990e+22,   7.5884860e+18
