Date_obs,MCDz,errMCDz,MCHz,errMCHz,TCHz,errTCHz,ABSNCHz,errABSNCHz,USFz,errUSFz,Brhdr.T_REC,Brhdr.Meanjzd,Brhdr.errjz,Brhdr.meanjzh,Brhdr.errmih,Brhdr.totusjh,Brhdr.errtui,Brhdr.absnjzh,Brhdr.errtai,Brhdr.usflux,Brhdr.errvf
2010.10.10_00:00:00_TAI,      0.42636950,      0.26855482,    0.0020110445,   0.00056296877,       1.6912884,      0.47345674,       10.616601,      0.47345674,   2.5094080e+20,   1.7615455e+18,2010.10.10_00:00:00_TAI,    -0.058015560,     0.029637330,    0.0039961100,   0.00018797000,      622.418,      4.62900,      98.4160,      4.62900,   1.6399400e+22,   5.6066650e+18
2010.10.10_00:12:00_TAI,      0.78332425,      0.27901290,    0.0016114185,   0.00055334448,       1.3552029,      0.46536271,       10.608981,      0.46536271,   2.4389151e+20,   1.7657537e+18,2010.10.10_00:12:00_TAI,    -0.064674270,     0.029983610,    0.0038993500,   0.00018843000,      620.072,      4.68200,      96.8870,      4.68200,   1.6465610e+22,   5.6929250e+18
2010.10.10_00:24:00_TAI,      0.57546944,      0.28894369,   0.00076616988,   0.00058246233,      0.64434887,      0.48985082,       9.9983148,      0.48985082,   2.5435181e+20,   1.8435577e+18,2010.10.10_00:24:00_TAI,    -0.036890530,     0.030276000,    0.0041789900,   0.00019228000,      620.052,      4.72400,      102.661,      4.72400,   1.6330020e+22,   5.6749510e+18
2010.10.10_00:36:00_TAI,      0.59364883,      0.29497024,   0.00092349567,   0.00058687735,      0.77665986,      0.49356385,       10.485204,      0.49356385,   2.4769984e+20,   1.8499613e+18,2010.10.10_00:36:00_TAI,    -0.021967080,     0.029908970,    0.0042612200,   0.00018952000,      624.534,      4.67800,      105.171,      4.67800,   1.6415360e+22,   5.6360160e+18
2010.10.10_00:48:00_TAI,      0.64146591,      0.29801233,    0.0017769963,   0.00061270517,       1.4944539,      0.51528505,       11.638696,      0.51528505,   2.5982249e+20,   1.9174141e+18,2010.10.10_00:48:00_TAI,    -0.038193540,     0.029917990,    0.0044011600,   0.00019030000,      632.362,      4.70300,      108.775,      4.70300,   1.6443160e+22,   5.6524220e+18
2010.10.10_01:00:00_TAI,      0.69219888,      0.29432927,   0.00088428161,   0.00061623898,      0.74368084,      0.51825698,       12.150906,      0.51825698,   2.6521754e+20,   1.8740127e+18,2010.10.10_01:00:00_TAI,    -0.041570810,     0.029920310,    0.0046524800,   0.00019130000,      638.370,      4.69200,      114.111,      4.69200,   1.6448940e+22,   5.5864010e+18
2010.10.10_01:12:00_TAI,      0.58124926,      0.31400598,    0.0010534895,   0.00072943001,      0.88598466,      0.61345063,       14.632726,      0.61345063,   2.7871016e+20,   2.0090766e+18,2010.10.10_01:12:00_TAI,    -0.086153520,     0.030080700,    0.0044340900,   0.00019329000,      631.867,      4.72800,      108.471,      4.72800,   1.6442610e+22,   5.5999300e+18
2010.10.10_01:24:00_TAI,      0.46423292,      0.31208390,   0.00097529239,   0.00075630835,      0.82022090,      0.63605532,       16.097204,      0.63605532,   2.8300775e+20,   2.1104745e+18,2010.10.10_01:24:00_TAI,    -0.075949150,     0.029729790,    0.0042683500,   0.00019582000,      635.022,      4.80600,      104.771,      4.80600,   1.6524580e+22,   5.5383380e+18
2010.10.10_01:36:00_TAI,      0.37252203,      0.30153487,   0.00093199506,   0.00072312663,      0.78380785,      0.60814950,       16.103778,      0.60814950,   2.8359150e+20,   1.9390110e+18,2010.10.10_01:36:00_TAI,    -0.041658520,     0.029960060,    0.0043960700,   0.00019280000,      644.984,      4.82800,      110.077,      4.82800,   1.6706310e+22,   5.6684230e+18
2010.10.10_01:48:00_TAI,      0.48127374,      0.29587305,   0.00095035675,   0.00070393608,      0.79925003,      0.59201024,       14.701332,      0.59201024,   2.8718599e+20,   1.9249292e+18,2010.10.10_01:48:00_TAI,    -0.049977970,     0.029677740,    0.0043203700,   0.00019365000,      632.199,      4.75100,      105.987,      4.75100,   1.6554830e+22,   5.4902960e+18
