Date_obs,MCDz,errMCDz,MCHz,errMCHz,TCHz,errTCHz,ABSNCHz,errABSNCHz,USFz,errUSFz,Brhdr.T_REC,Brhdr.Meanjzd,Brhdr.errjz,Brhdr.meanjzh,Brhdr.errmih,Brhdr.totusjh,Brhdr.errtui,Brhdr.absnjzh,Brhdr.errtai,Brhdr.usflux,Brhdr.errvf
2010.10.10_00:00:00_TAI,     -0.18338020,      0.19707609,    0.0022247641,   0.00085193460,       1.8710266,      0.71647700,       16.650666,      0.71647700,   4.7066842e+20,   1.3418812e+18,2010.10.10_00:00:00_TAI,    -0.058015560,     0.029637330,    0.0039961100,   0.00018797000,      622.418,      4.62900,      98.4160,      4.62900,   1.6399400e+22,   5.6066650e+18
2010.10.10_00:12:00_TAI,     -0.14361615,      0.19291949,    0.0016509016,   0.00087634212,       1.3884083,      0.73700373,       15.705703,      0.73700373,   4.7130588e+20,   1.3195260e+18,2010.10.10_00:12:00_TAI,    -0.064674270,     0.029983610,    0.0038993500,   0.00018843000,      620.072,      4.68200,      96.8870,      4.68200,   1.6465610e+22,   5.6929250e+18
2010.10.10_00:24:00_TAI,     0.048381825,      0.20089501,    0.0017075331,   0.00084674698,       1.4360353,      0.71211421,       15.376770,      0.71211421,   4.6354178e+20,   1.3669014e+18,2010.10.10_00:24:00_TAI,    -0.036890530,     0.030276000,    0.0041789900,   0.00019228000,      620.052,      4.72400,      102.661,      4.72400,   1.6330020e+22,   5.6749510e+18
2010.10.10_00:36:00_TAI,     0.026985397,      0.19655885,   0.00095959658,   0.00085921436,      0.80702073,      0.72259928,       16.894820,      0.72259928,   4.7037129e+20,   1.3412508e+18,2010.10.10_00:36:00_TAI,    -0.021967080,     0.029908970,    0.0042612200,   0.00018952000,      624.534,      4.67800,      105.171,      4.67800,   1.6415360e+22,   5.6360160e+18
2010.10.10_00:48:00_TAI,    -0.014985683,      0.20290220,    0.0014184401,   0.00086906989,       1.1929082,      0.73088778,       17.229934,      0.73088778,   4.7099341e+20,   1.3668328e+18,2010.10.10_00:48:00_TAI,    -0.038193540,     0.029917990,    0.0044011600,   0.00019030000,      632.362,      4.70300,      108.775,      4.70300,   1.6443160e+22,   5.6524220e+18
2010.10.10_01:00:00_TAI,     -0.27829906,      0.20556370,    0.0031789074,   0.00086411672,       2.6734611,      0.72672216,       17.305317,      0.72672216,   4.6750466e+20,   1.3885775e+18,2010.10.10_01:00:00_TAI,    -0.041570810,     0.029920310,    0.0046524800,   0.00019130000,      638.370,      4.69200,      114.111,      4.69200,   1.6448940e+22,   5.5864010e+18
2010.10.10_01:12:00_TAI,     -0.48957083,      0.19968840,    0.0037784249,   0.00087617656,       3.1776553,      0.73686449,       17.164573,      0.73686449,   4.6837520e+20,   1.3532607e+18,2010.10.10_01:12:00_TAI,    -0.086153520,     0.030080700,    0.0044340900,   0.00019329000,      631.867,      4.72800,      108.471,      4.72800,   1.6442610e+22,   5.5999300e+18
2010.10.10_01:24:00_TAI,     -0.44131883,      0.19149371,    0.0040645203,   0.00091252359,       3.4182615,      0.76743234,       18.601123,      0.76743234,   4.6635638e+20,   1.2979645e+18,2010.10.10_01:24:00_TAI,    -0.075949150,     0.029729790,    0.0042683500,   0.00019582000,      635.022,      4.80600,      104.771,      4.80600,   1.6524580e+22,   5.5383380e+18
2010.10.10_01:36:00_TAI,     -0.59725277,      0.20078950,    0.0050232671,   0.00090891129,       4.2245677,      0.76439439,       15.310339,      0.76439439,   4.6171871e+20,   1.3600543e+18,2010.10.10_01:36:00_TAI,    -0.041658520,     0.029960060,    0.0043960700,   0.00019280000,      644.984,      4.82800,      110.077,      4.82800,   1.6706310e+22,   5.6684230e+18
2010.10.10_01:48:00_TAI,     -0.44161353,      0.18793025,    0.0037019979,   0.00085225552,       3.1133802,      0.71674689,       14.925551,      0.71674689,   4.6057248e+20,   1.2862485e+18,2010.10.10_01:48:00_TAI,    -0.049977970,     0.029677740,    0.0043203700,   0.00019365000,      632.199,      4.75100,      105.987,      4.75100,   1.6554830e+22,   5.4902960e+18
2010.10.10_02:00:00_TAI,     -0.57472296,      0.19036195,    0.0041558370,   0.00087075272,       3.4950589,      0.73230304,       16.524415,      0.73230304,   4.5941419e+20,   1.3016949e+18,2010.10.10_02:00:00_TAI,     0.033491760,     0.029982270,    0.0044565500,   0.00019767000,      634.557,      4.79200,      108.040,      4.79200,   1.6430610e+22,   5.4394890e+18
2010.10.10_02:12:00_TAI,     -0.24585583,      0.21013038,    0.0029053361,   0.00088462395,       2.4433876,      0.74396874,       15.701284,      0.74396874,   4.5095230e+20,   1.4170151e+18,2010.10.10_02:12:00_TAI,   -0.0066741300,     0.030423880,    0.0043408700,   0.00019978000,      656.715,      4.89800,      106.429,      4.89800,   1.6571150e+22,   5.5997390e+18
2010.10.10_02:24:00_TAI,     -0.34625847,      0.20513242,    0.0029081308,   0.00089309364,       2.4457380,      0.75109175,       16.246364,      0.75109175,   4.4421470e+20,   1.3741924e+18,2010.10.10_02:24:00_TAI,     0.012795620,     0.030359440,    0.0045490600,   0.00020051000,      664.796,      4.95200,      112.339,      4.95200,   1.6758310e+22,   5.6114660e+18
2010.10.10_02:36:00_TAI,     -0.52265281,      0.21074759,    0.0036158070,   0.00091258016,       3.0408937,      0.76747992,       17.580894,      0.76747992,   4.4099646e+20,   1.4347239e+18,2010.10.10_02:36:00_TAI,   -0.0073328600,     0.030822540,    0.0049521200,   0.00020576000,      682.664,      5.04100,      121.317,      5.04100,   1.6789700e+22,   5.6268080e+18
2010.10.10_02:48:00_TAI,     -0.27726825,      0.21021836,    0.0024730496,   0.00092537617,       2.0798347,      0.77824136,       15.770087,      0.77824136,   4.4234251e+20,   1.4184208e+18,2010.10.10_02:48:00_TAI,    0.0043072600,     0.030942180,    0.0045622200,   0.00020812000,      684.947,      5.03300,      110.324,      5.03300,   1.6679710e+22,   5.5401260e+18
2010.10.10_03:00:00_TAI,     -0.32277575,      0.21612739,    0.0026529937,   0.00096090291,       2.2311677,      0.80811934,       17.058054,      0.80811934,   4.3421604e+20,   1.4495221e+18,2010.10.10_03:00:00_TAI,    -0.010413980,     0.031337180,    0.0048173400,   0.00021243000,      698.245,      5.06300,      114.807,      5.06300,   1.6528780e+22,   5.5040160e+18
2010.10.10_03:12:00_TAI,     -0.60273398,      0.23034699,    0.0042324482,   0.00094513297,       3.5594889,      0.79485682,       17.589217,      0.79485682,   4.3422899e+20,   1.5333339e+18,2010.10.10_03:12:00_TAI,     0.018979280,     0.032288560,    0.0051478200,   0.00022360000,      694.587,      5.18000,      119.260,      5.18000,   1.6303510e+22,   5.5218160e+18
2010.10.10_03:24:00_TAI,     -0.60290664,      0.21362190,    0.0046310312,   0.00092841833,       3.8946973,      0.78079982,       17.900037,      0.78079982,   4.2354568e+20,   1.4541399e+18,2010.10.10_03:24:00_TAI,    -0.016565380,     0.032698740,    0.0051918200,   0.00022193000,      709.903,      5.21700,      122.039,      5.21700,   1.6408420e+22,   5.6652840e+18
2010.10.10_03:36:00_TAI,     -0.40654914,      0.21364965,    0.0034269633,   0.00092736354,       2.8820761,      0.77991273,       17.228447,      0.77991273,   4.2501802e+20,   1.4515848e+18,2010.10.10_03:36:00_TAI,    -0.041837020,     0.033184980,    0.0053925300,   0.00023169000,      717.812,      5.25100,      122.205,      5.25100,   1.6143070e+22,   5.5107350e+18
2010.10.10_03:48:00_TAI,     -0.16334953,      0.22813657,    0.0024100428,   0.00095964987,       2.0268460,      0.80706554,       18.145965,      0.80706554,   4.1337659e+20,   1.4883317e+18,2010.10.10_03:48:00_TAI,   -0.0011465700,     0.033651170,    0.0054521300,   0.00024156000,      726.821,      5.37700,      121.359,      5.37700,   1.6023640e+22,   5.4954030e+18
2010.10.10_04:00:00_TAI,     -0.27225310,      0.21923168,    0.0022311392,   0.00094430984,       1.8763881,      0.79416457,       17.549272,      0.79416457,   4.0464356e+20,   1.4697149e+18,2010.10.10_04:00:00_TAI,    -0.074818490,     0.033553590,    0.0052861000,   0.00024255000,      726.829,      5.42500,      118.234,      5.42500,   1.6034070e+22,   5.5052390e+18
2010.10.10_04:12:00_TAI,     -0.25697922,      0.21190493,    0.0026164822,   0.00092382172,       2.2004615,      0.77693407,       16.933222,      0.77693407,   3.9936792e+20,   1.4226736e+18,2010.10.10_04:12:00_TAI,    -0.095616320,     0.033062130,    0.0058544900,   0.00023585000,      733.433,      5.40300,      134.126,      5.40300,   1.6152140e+22,   5.5676670e+18
2010.10.10_04:24:00_TAI,     -0.24241677,      0.21473949,    0.0022410880,   0.00095040097,       1.8847550,      0.79928721,       16.549969,      0.79928721,   4.0353572e+20,   1.4319606e+18,2010.10.10_04:24:00_TAI,   -0.0060077500,     0.033204320,    0.0058540200,   0.00024416000,      719.368,      5.43700,      130.363,      5.43700,   1.5926830e+22,   5.4277070e+18
