Date_obs,MCDz,errMCDz,MCHz,errMCHz,TCHz,errTCHz,ABSNCHz,errABSNCHz,USFz,errUSFz,Brhdr.T_REC,Brhdr.Meanjzd,Brhdr.errjz,Brhdr.meanjzh,Brhdr.errmih,Brhdr.totusjh,Brhdr.errtui,Brhdr.absnjzh,Brhdr.errtai,Brhdr.usflux,Brhdr.errvf
2010.11.07_00:00:00_TAI,   -0.0050104686,      0.14208127,  -4.3056920e-05,   0.00018770456,      0.34105387,       1.4868078,       59.429028,       1.4868078,   1.1354350e+21,   8.9570150e+18,2010.11.07_00:00:00_TAI,      0.14717588,     0.022835250,    0.0019484600,   0.00014419000,       1631.2910,      7.45800,      100.782,      7.45800,   3.2461400e+22,   7.7100590e+18
2010.11.07_00:12:00_TAI,    -0.026490561,      0.14004689,   2.1379070e-05,   0.00018985571,      0.16934361,       1.5038471,       60.227465,       1.5038471,   1.1696945e+21,   8.7838912e+18,2010.11.07_00:12:00_TAI,      0.15947382,     0.022879590,    0.0019673400,   0.00014441000,       1616.8390,      7.45400,      101.550,      7.45400,   3.2405820e+22,   7.7071600e+18
2010.11.07_00:24:00_TAI,    -0.048679692,      0.14422899,  -0.00019282229,   0.00019067022,       1.5273453,       1.5102988,       61.123255,       1.5102988,   1.1345390e+21,   9.0286183e+18,2010.11.07_00:24:00_TAI,      0.19521242,     0.022821460,    0.0019006000,   0.00014285000,       1619.2760,      7.44700,      99.0840,      7.44700,   3.2500950e+22,   7.7527000e+18
2010.11.07_00:36:00_TAI,    -0.020425616,      0.14359482,   6.2153437e-05,   0.00019139518,      0.49231737,       1.5160412,       60.401529,       1.5160412,   1.1454255e+21,   9.0811014e+18,2010.11.07_00:36:00_TAI,      0.17022979,     0.022702680,    0.0018067000,   0.00014357000,       1616.4870,      7.44300,      93.6550,      7.44300,   3.2509650e+22,   7.6497750e+18
2010.11.07_00:48:00_TAI,    -0.060183643,      0.14351509,   0.00010659752,   0.00019393945,      0.84435899,       1.5361944,       62.526832,       1.5361944,   1.1586728e+21,   9.0057705e+18,2010.11.07_00:48:00_TAI,      0.17305969,     0.022889550,    0.0015735300,   0.00014547000,       1629.1050,      7.51200,      81.2590,      7.51200,   3.2428990e+22,   7.6707640e+18
2010.11.07_01:00:00_TAI,     0.013230806,      0.14732072,   5.1002660e-05,   0.00019540287,      0.40399207,       1.5477861,       62.693987,       1.5477861,   1.1336525e+21,   9.0276559e+18,2010.11.07_01:00:00_TAI,      0.19622740,     0.023072720,    0.0020939200,   0.00014764000,       1618.4730,      7.61900,      108.050,      7.61900,   3.2382500e+22,   7.6989340e+18
2010.11.07_01:12:00_TAI,    -0.043215180,      0.15197011,   0.00041684340,   0.00019165081,       3.3018165,       1.5180661,       61.435308,       1.5180661,   1.1360796e+21,   9.3171466e+18,2010.11.07_01:12:00_TAI,      0.18162611,     0.023400180,    0.0021320900,   0.00014792000,       1611.8450,      7.60700,      109.649,      7.60700,   3.2248450e+22,   7.7715630e+18
2010.11.07_01:24:00_TAI,     0.076038502,      0.13924602,   0.00044465852,   0.00018589484,       3.5221401,       1.4724730,       62.480440,       1.4724730,   1.1288252e+21,   8.8014718e+18,2010.11.07_01:24:00_TAI,      0.19740263,     0.023686710,    0.0020141400,   0.00015164000,       1633.1860,      7.75900,      103.062,      7.75900,   3.2178980e+22,   7.8149040e+18
2010.11.07_01:36:00_TAI,   -0.0036356583,      0.14085596,   0.00012167648,   0.00018901243,      0.96379939,       1.4971674,       63.274531,       1.4971674,   1.1317694e+21,   8.7929536e+18,2010.11.07_01:36:00_TAI,      0.20858796,     0.023968480,    0.0022485600,   0.00015399000,       1634.9950,      7.82800,      114.306,      7.82800,   3.2097190e+22,   7.8396060e+18
2010.11.07_01:48:00_TAI,     0.026636665,      0.14923010,   1.3502988e-05,   0.00020056322,      0.10695717,       1.5886613,       63.196134,       1.5886613,   1.1442640e+21,   9.9217781e+18,2010.11.07_01:48:00_TAI,      0.18403684,     0.024257840,    0.0020989000,   0.00015754000,       1653.6960,      7.95300,      105.954,      7.95300,   3.1930360e+22,   7.8628050e+18
2010.11.07_02:00:00_TAI,     0.011251427,      0.15938338,   0.00028491356,   0.00020895126,       2.2568003,       1.6551029,       65.118817,       1.6551029,   1.1622979e+21,   9.1274958e+18,2010.11.07_02:00:00_TAI,      0.17604235,     0.024755300,    0.0022596200,   0.00016179000,       1656.4440,      8.06000,      112.563,      8.06000,   3.1708280e+22,   7.8884700e+18
2010.11.07_02:12:00_TAI,     0.037769413,      0.15207052,   9.5174156e-05,   0.00019546838,      0.75387449,       1.5483051,       63.673849,       1.5483051,   1.1335453e+21,   9.0460546e+18,2010.11.07_02:12:00_TAI,      0.19072650,     0.025332640,    0.0021409900,   0.00016899000,       1667.0290,      8.32100,      105.418,      8.32100,   3.1614370e+22,   7.9500770e+18
2010.11.07_02:24:00_TAI,     0.033368333,      0.14040482,   0.00039997520,   0.00019377657,       3.1682036,       1.5349042,       68.908682,       1.5349042,   1.1751428e+21,   8.6856091e+18,2010.11.07_02:24:00_TAI,      0.16887270,     0.025435750,    0.0022975900,   0.00016859000,       1664.8900,      8.22300,      112.070,      8.22300,   3.1353910e+22,   7.8963260e+18
2010.11.07_02:36:00_TAI,    -0.053521589,      0.14219170,   0.00018897624,   0.00019767093,       1.4968808,       1.5657515,       69.251093,       1.5657515,   1.1756785e+21,   8.7906325e+18,2010.11.07_02:36:00_TAI,      0.19373538,     0.025923400,    0.0023275200,   0.00017221000,       1673.3670,      8.30400,      112.238,      8.30400,   3.1211220e+22,   7.9602180e+18
2010.11.07_02:48:00_TAI,     0.071671189,      0.14376336,   0.00023767306,   0.00019632866,       1.8826083,       1.5551193,       69.769349,       1.5551193,   1.1960829e+21,   8.7267244e+18,2010.11.07_02:48:00_TAI,      0.19214803,     0.026369700,    0.0023637300,   0.00017751000,       1685.8990,      8.41300,      112.022,      8.41300,   3.0786670e+22,   7.9318390e+18
2010.11.07_03:00:00_TAI,     -0.10037241,      0.13906095,   0.00027012795,   0.00019431241,       2.1396835,       1.5391486,       70.129479,       1.5391486,   1.1847879e+21,   8.5815407e+18,2010.11.07_03:00:00_TAI,      0.17953992,     0.026797740,    0.0023923700,   0.00018157000,       1648.1670,      8.43900,      111.188,      8.43900,   3.0289880e+22,   7.9205750e+18
