Date_obs,MCDz,errMCDz,MCHz,errMCHz,TCHz,errTCHz,ABSNCHz,errABSNCHz,USFz,errUSFz,Brhdr.T_REC,Brhdr.Meanjzd,Brhdr.errjz,Brhdr.meanjzh,Brhdr.errmih,Brhdr.totusjh,Brhdr.errtui,Brhdr.absnjzh,Brhdr.errtai,Brhdr.usflux,Brhdr.errvf
2010.10.10_00:00:00_TAI,     -0.40595938,      0.10696187,    0.0065051025,   0.00036677225,       51.526917,       2.9052030,       159.14590,       2.9052030,   3.6215538e+21,   6.5376134e+18,2010.10.10_00:00:00_TAI,    -0.058015560,     0.029637330,    0.0039961100,   0.00018797000,      622.418,      4.62900,      98.4160,      4.62900,   1.6399400e+22,   5.6066650e+18
2010.10.10_00:12:00_TAI,     -0.36096566,      0.10720252,    0.0060564896,   0.00036501405,       47.973454,       2.8912763,       157.17845,       2.8912763,   3.6190855e+21,   6.5603143e+18,2010.10.10_00:12:00_TAI,    -0.064674270,     0.029983610,    0.0038993500,   0.00018843000,      620.072,      4.68200,      96.8870,      4.68200,   1.6465610e+22,   5.6929250e+18
2010.10.10_00:24:00_TAI,     -0.28894381,      0.11041770,    0.0060246895,   0.00037767975,       47.721565,       2.9916013,       156.30313,       2.9916013,   3.6443845e+21,   6.7622622e+18,2010.10.10_00:24:00_TAI,    -0.036890530,     0.030276000,    0.0041789900,   0.00019228000,      620.052,      4.72400,      102.661,      4.72400,   1.6330020e+22,   5.6749510e+18
2010.10.10_00:36:00_TAI,     -0.35597063,      0.11012203,    0.0060636042,   0.00037434249,       48.029809,       2.9651669,       158.43527,       2.9651669,   3.6477699e+21,   6.7674527e+18,2010.10.10_00:36:00_TAI,    -0.021967080,     0.029908970,    0.0042612200,   0.00018952000,      624.534,      4.67800,      105.171,      4.67800,   1.6415360e+22,   5.6360160e+18
2010.10.10_00:48:00_TAI,     -0.36079557,      0.11104097,    0.0059188856,   0.00038005369,       46.883493,       3.0104052,       166.54303,       3.0104052,   3.6753772e+21,   6.8338831e+18,2010.10.10_00:48:00_TAI,    -0.038193540,     0.029917990,    0.0044011600,   0.00019030000,      632.362,      4.70300,      108.775,      4.70300,   1.6443160e+22,   5.6524220e+18
2010.10.10_01:00:00_TAI,     -0.35308359,      0.10929458,    0.0056318170,   0.00037293953,       44.609623,       2.9540540,       167.49953,       2.9540540,   3.6866980e+21,   6.7123746e+18,2010.10.10_01:00:00_TAI,    -0.041570810,     0.029920310,    0.0046524800,   0.00019130000,      638.370,      4.69200,      114.111,      4.69200,   1.6448940e+22,   5.5864010e+18
2010.10.10_01:12:00_TAI,     -0.25645530,      0.10715658,    0.0056002090,   0.00037767685,       44.359256,       2.9915783,       170.35426,       2.9915783,   3.7106197e+21,   6.5799760e+18,2010.10.10_01:12:00_TAI,    -0.086153520,     0.030080700,    0.0044340900,   0.00019329000,      631.867,      4.72800,      108.471,      4.72800,   1.6442610e+22,   5.5999300e+18
2010.10.10_01:24:00_TAI,     -0.29313082,      0.10959180,    0.0054022769,   0.00039513112,       42.791436,       3.1298336,       175.95408,       3.1298336,   3.7155148e+21,   6.7446282e+18,2010.10.10_01:24:00_TAI,    -0.075949150,     0.029729790,    0.0042683500,   0.00019582000,      635.022,      4.80600,      104.771,      4.80600,   1.6524580e+22,   5.5383380e+18
2010.10.10_01:36:00_TAI,     -0.32392252,      0.10741062,    0.0054081555,   0.00038631230,       42.838000,       3.0599797,       175.47750,       3.0599797,   3.6900741e+21,   6.5625134e+18,2010.10.10_01:36:00_TAI,    -0.041658520,     0.029960060,    0.0043960700,   0.00019280000,      644.984,      4.82800,      110.077,      4.82800,   1.6706310e+22,   5.6684230e+18
2010.10.10_01:48:00_TAI,     -0.29484969,      0.10627716,    0.0046474035,   0.00038269358,       36.812083,       3.0313159,       171.84313,       3.0313159,   3.7256465e+21,   6.5313009e+18,2010.10.10_01:48:00_TAI,    -0.049977970,     0.029677740,    0.0043203700,   0.00019365000,      632.199,      4.75100,      105.987,      4.75100,   1.6554830e+22,   5.4902960e+18
