Date_obs,MCDz,errMCDz,MCHz,errMCHz,TCHz,errTCHz,ABSNCHz,errABSNCHz,USFz,errUSFz,Brhdr.T_REC,Brhdr.Meanjzd,Brhdr.errjz,Brhdr.meanjzh,Brhdr.errmih,Brhdr.totusjh,Brhdr.errtui,Brhdr.absnjzh,Brhdr.errtai,Brhdr.usflux,Brhdr.errvf
2010.08.18_00:00:00_TAI,    0.0074447168,      0.12994573,   0.00046543691,   0.00016513350,       3.6867258,       1.3080224,       66.746396,       1.3080224,   1.0106692e+21,   6.4425069e+18,2010.08.18_00:00:00_TAI,     0.057883220,     0.040911960,    0.0019826700,   0.00025069000,      373.120,      3.68900,      29.1770,      3.68900,   9.2806590e+21,   3.9629680e+18
2010.08.18_00:12:00_TAI,     0.065240001,      0.12669100,   0.00059829316,   0.00016415321,       4.7390801,       1.3002576,       66.572608,       1.3002576,   1.0146640e+21,   6.3070489e+18,2010.08.18_00:12:00_TAI,     0.035849040,     0.040828680,    0.0018438500,   0.00024867000,      372.791,      3.65000,      27.0680,      3.65000,   9.2428520e+21,   3.9234500e+18
2010.08.18_00:24:00_TAI,  -1.3858130e-07,      0.12397971,   0.00051311296,   0.00015675268,       4.0643677,       1.2416380,       64.575142,       1.2416380,   9.8818953e+20,   6.1242542e+18,2010.08.18_00:24:00_TAI,     0.094737110,     0.040452380,    0.0021925100,   0.00024700000,      362.261,      3.59100,      31.8730,      3.59100,   9.1913000e+21,   3.8418000e+18
2010.08.18_00:36:00_TAI,     0.032678176,      0.12629973,   0.00065984331,   0.00015884773,       5.2266188,       1.2582329,       64.033663,       1.2582329,   9.8986706e+20,   6.2246683e+18,2010.08.18_00:36:00_TAI,      0.11171729,     0.040829580,    0.0022046800,   0.00024852000,      366.899,      3.61500,      32.0690,      3.61500,   9.1651610e+21,   3.8719470e+18
2010.08.18_00:48:00_TAI,     0.078051776,      0.13282211,   0.00047048891,   0.00016015576,       3.7267426,       1.2685938,       61.326112,       1.2685938,   9.7166002e+20,   6.4018359e+18,2010.08.18_00:48:00_TAI,     0.015869780,     0.040962550,    0.0021362100,   0.00024849000,      365.429,      3.59900,      30.9430,      3.59900,   9.1227990e+21,   3.8631280e+18
2010.08.18_01:00:00_TAI,     0.095107353,      0.12344286,   0.00087776147,   0.00015512697,       6.9527486,       1.2287607,       63.872364,       1.2287607,   9.7075484e+20,   6.0884358e+18,2010.08.18_01:00:00_TAI,     0.033264560,     0.040514660,    0.0020570700,   0.00024430000,      354.347,      3.51700,      29.6140,      3.51700,   9.0657400e+21,   3.8201780e+18
2010.08.18_01:12:00_TAI,     0.067823253,      0.12431024,   0.00073719481,   0.00015390173,       5.8393201,       1.2190556,       61.866389,       1.2190556,   9.5965120e+20,   6.1535087e+18,2010.08.18_01:12:00_TAI,     0.046937530,     0.040826810,    0.0021220700,   0.00024447000,      356.189,      3.55800,      30.8820,      3.55800,   9.0960030e+21,   3.8747670e+18
2010.08.18_01:24:00_TAI,     0.082783257,      0.12435549,   0.00053009296,   0.00015222308,       4.1988663,       1.2057590,       61.796411,       1.2057590,   9.4468070e+20,   6.0940807e+18,2010.08.18_01:24:00_TAI,     0.050610540,     0.041346400,    0.0019595800,   0.00024866000,      351.302,      3.55200,      27.9890,      3.55200,   8.9833130e+21,   3.8482430e+18
2010.08.18_01:36:00_TAI,      0.11462901,      0.12439391,   0.00064036686,   0.00015466850,       5.0723459,       1.2251292,       63.042594,       1.2251292,   9.5868246e+20,   6.1423371e+18,2010.08.18_01:36:00_TAI,     0.063368080,     0.041038980,    0.0023791600,   0.00024632000,      357.435,      3.55000,      34.2930,      3.55000,   9.0322440e+21,   3.8547990e+18
2010.08.18_01:48:00_TAI,     0.047829080,      0.12756188,   0.00048653459,   0.00015592663,       3.8538405,       1.2350949,       61.966818,       1.2350949,   9.6182588e+20,   6.2502951e+18,2010.08.18_01:48:00_TAI,     0.071083510,     0.041481450,    0.0021642600,   0.00024878000,      356.198,      3.60800,      31.3860,      3.60800,   9.0604330e+21,   3.9081730e+18
2010.08.18_02:00:00_TAI,     0.055440853,      0.12271232,   0.00073227886,   0.00015478152,       5.8003809,       1.2260244,       64.400816,       1.2260244,   9.5578913e+20,   6.3342001e+18,2010.08.18_02:00:00_TAI,     0.028669700,     0.042522040,    0.0015352600,   0.00025756000,      363.632,      3.65000,      21.7550,      3.65000,   8.9222420e+21,   3.9133570e+18
2010.08.18_02:12:00_TAI,     0.064121710,      0.12197979,   0.00080069651,   0.00015226231,       6.3423170,       1.2060697,       61.006581,       1.2060697,   9.3879170e+20,   6.0694176e+18,2010.08.18_02:12:00_TAI,      0.10513522,     0.042322320,    0.0020858600,   0.00025929000,      368.236,      3.68300,      29.6320,      3.68300,   8.9590460e+21,   3.9029500e+18
2010.08.18_02:24:00_TAI,     0.059682042,      0.12312759,   0.00082069075,   0.00015121845,       6.5006914,       1.1978013,       61.352906,       1.1978013,   9.3350186e+20,   5.9742412e+18,2010.08.18_02:24:00_TAI,      0.12837282,     0.042506060,    0.0020495600,   0.00025723000,      369.573,      3.68000,      29.3190,      3.68000,   8.9827740e+21,   3.9435200e+18
2010.08.18_02:36:00_TAI,     0.041964553,      0.12390350,   0.00070925689,   0.00015223397,       5.6180239,       1.2058453,       60.462519,       1.2058453,   9.3617778e+20,   6.2472752e+18,2010.08.18_02:36:00_TAI,      0.12639950,     0.043060660,    0.0019453500,   0.00026270000,      366.168,      3.70600,      27.4470,      3.70600,   8.9078840e+21,   3.9357700e+18
2010.08.18_02:48:00_TAI,     0.049833407,      0.12439161,   0.00068509285,   0.00015389085,       5.4266205,       1.2189694,       61.428638,       1.2189694,   9.4484533e+20,   6.0718938e+18,2010.08.18_02:48:00_TAI,     0.055680780,     0.043260600,    0.0018277700,   0.00026267000,      366.432,      3.71800,      25.8680,      3.71800,   8.8912070e+21,   3.9495520e+18
2010.08.18_03:00:00_TAI,     0.056489670,      0.12331441,   0.00084123149,   0.00015499573,       6.6633946,       1.2277212,       63.496202,       1.2277212,   9.5442601e+20,   6.0111983e+18,2010.08.18_03:00:00_TAI,     0.088033620,     0.043273670,    0.0022008200,   0.00026026000,      367.499,      3.73700,      31.5990,      3.73700,   8.9938400e+21,   4.0107690e+18
