Date_obs,MCDz,errMCDz,MCHz,errMCHz,TCHz,errTCHz,ABSNCHz,errABSNCHz,USFz,errUSFz,Brhdr.T_REC,Brhdr.Meanjzd,Brhdr.errjz,Brhdr.meanjzh,Brhdr.errmih,Brhdr.totusjh,Brhdr.errtui,Brhdr.absnjzh,Brhdr.errtai,Brhdr.usflux,Brhdr.errvf
2010.10.10_00:00:00_TAI,    -0.081656842,      0.13844388,  -0.00011657410,   0.00016063741,      0.92338341,       1.2724089,       57.747427,       1.2724089,   8.1626400e+20,   7.5395109e+18,2010.10.10_00:00:00_TAI,    -0.058015560,     0.029637330,    0.0039961100,   0.00018797000,      622.418,      4.62900,      98.4160,      4.62900,   1.6399400e+22,   5.6066650e+18
2010.10.10_00:12:00_TAI,    -0.077700708,      0.13266064,   0.00015759395,   0.00015534881,       1.2483017,       1.2305179,       56.732707,       1.2305179,   8.0461216e+20,   6.8783977e+18,2010.10.10_00:12:00_TAI,    -0.064674270,     0.029983610,    0.0038993500,   0.00018843000,      620.072,      4.68200,      96.8870,      4.68200,   1.6465610e+22,   5.6929250e+18
2010.10.10_00:24:00_TAI,    -0.059201809,      0.12874780,   0.00026494100,   0.00015391364,       2.0985976,       1.2191500,       57.913821,       1.2191500,   8.1468665e+20,   6.6969228e+18,2010.10.10_00:24:00_TAI,    -0.036890530,     0.030276000,    0.0041789900,   0.00019228000,      620.052,      4.72400,      102.661,      4.72400,   1.6330020e+22,   5.6749510e+18
2010.10.10_00:36:00_TAI,    -0.015826596,      0.12905025,   0.00011327347,   0.00015290981,      0.89723914,       1.2111986,       57.364911,       1.2111986,   7.9920090e+20,   6.6582521e+18,2010.10.10_00:36:00_TAI,    -0.021967080,     0.029908970,    0.0042612200,   0.00018952000,      624.534,      4.67800,      105.171,      4.67800,   1.6415360e+22,   5.6360160e+18
2010.10.10_00:48:00_TAI,    -0.097276261,      0.12639245,   4.3689026e-06,   0.00015157126,     0.034606078,       1.2005960,       58.084425,       1.2005960,   8.1743099e+20,   6.5266140e+18,2010.10.10_00:48:00_TAI,    -0.038193540,     0.029917990,    0.0044011600,   0.00019030000,      632.362,      4.70300,      108.775,      4.70300,   1.6443160e+22,   5.6524220e+18
2010.10.10_01:00:00_TAI,    -0.064591890,      0.12980638,   0.00015257586,   0.00015185907,       1.2085533,       1.2028757,       56.398161,       1.2028757,   7.9095712e+20,   6.7154798e+18,2010.10.10_01:00:00_TAI,    -0.041570810,     0.029920310,    0.0046524800,   0.00019130000,      638.370,      4.69200,      114.111,      4.69200,   1.6448940e+22,   5.5864010e+18
2010.10.10_01:12:00_TAI,     -0.13854501,      0.12843917,   4.4562862e-05,   0.00015079743,      0.35298243,       1.1944665,       56.363571,       1.1944665,   7.6486449e+20,   6.7723996e+18,2010.10.10_01:12:00_TAI,    -0.086153520,     0.030080700,    0.0044340900,   0.00019329000,      631.867,      4.72800,      108.471,      4.72800,   1.6442610e+22,   5.5999300e+18
2010.10.10_01:24:00_TAI,     -0.10952924,      0.12620569,   6.0028949e-05,   0.00015043366,      0.47548930,       1.1915851,       59.357796,       1.1915851,   7.7776008e+20,   6.4891535e+18,2010.10.10_01:24:00_TAI,    -0.075949150,     0.029729790,    0.0042683500,   0.00019582000,      635.022,      4.80600,      104.771,      4.80600,   1.6524580e+22,   5.5383380e+18
2010.10.10_01:36:00_TAI,     -0.12160329,      0.13276920,   0.00021943497,   0.00015714592,       1.7381444,       1.2447528,       56.831811,       1.2447528,   7.8180865e+20,   7.3081297e+18,2010.10.10_01:36:00_TAI,    -0.041658520,     0.029960060,    0.0043960700,   0.00019280000,      644.984,      4.82800,      110.077,      4.82800,   1.6706310e+22,   5.6684230e+18
2010.10.10_01:48:00_TAI,    -0.089613214,      0.12649715,   0.00024410827,   0.00014734812,       1.9335816,       1.1671445,       55.705123,       1.1671445,   7.7113962e+20,   6.8899630e+18,2010.10.10_01:48:00_TAI,    -0.049977970,     0.029677740,    0.0043203700,   0.00019365000,      632.199,      4.75100,      105.987,      4.75100,   1.6554830e+22,   5.4902960e+18
