Date_obs,MCDz,errMCDz,MCHz,errMCHz,TCHz,errTCHz,ABSNCHz,errABSNCHz,USFz,errUSFz,Brhdr.T_REC,Brhdr.Meanjzd,Brhdr.errjz,Brhdr.meanjzh,Brhdr.errmih,Brhdr.totusjh,Brhdr.errtui,Brhdr.absnjzh,Brhdr.errtai,Brhdr.usflux,Brhdr.errvf
2010.10.10_00:00:00_TAI,     -0.22133558,      0.12207921,  -0.00074031364,   0.00022546309,       5.8640243,       1.7858932,       100.02989,       1.7858932,   1.9679683e+21,   6.7462995e+18,2010.10.10_00:00:00_TAI,    -0.058015560,     0.029637330,    0.0039961100,   0.00018797000,      622.418,      4.62900,      98.4160,      4.62900,   1.6399400e+22,   5.6066650e+18
2010.10.10_00:12:00_TAI,     -0.22630800,      0.12211414,  -0.00082996524,   0.00023036392,       6.5741547,       1.8247126,       100.84353,       1.8247126,   1.9716189e+21,   6.7788931e+18,2010.10.10_00:12:00_TAI,    -0.064674270,     0.029983610,    0.0038993500,   0.00018843000,      620.072,      4.68200,      96.8870,      4.68200,   1.6465610e+22,   5.6929250e+18
2010.10.10_00:24:00_TAI,     -0.27218555,      0.12532343,  -0.00088279233,   0.00022937672,       6.9925980,       1.8168930,       98.854563,       1.8168930,   1.9549840e+21,   6.9276261e+18,2010.10.10_00:24:00_TAI,    -0.036890530,     0.030276000,    0.0041789900,   0.00019228000,      620.052,      4.72400,      102.661,      4.72400,   1.6330020e+22,   5.6749510e+18
2010.10.10_00:36:00_TAI,     -0.24968131,      0.12385583,  -0.00076548271,   0.00022716750,       6.0633885,       1.7993938,       101.98747,       1.7993938,   1.9749275e+21,   6.8605474e+18,2010.10.10_00:36:00_TAI,    -0.021967080,     0.029908970,    0.0042612200,   0.00018952000,      624.534,      4.67800,      105.171,      4.67800,   1.6415360e+22,   5.6360160e+18
2010.10.10_00:48:00_TAI,     -0.23336387,      0.12170611,  -0.00081978794,   0.00022063040,       6.4935403,       1.7476134,       95.127662,       1.7476134,   1.9488953e+21,   6.6829180e+18,2010.10.10_00:48:00_TAI,    -0.038193540,     0.029917990,    0.0044011600,   0.00019030000,      632.362,      4.70300,      108.775,      4.70300,   1.6443160e+22,   5.6524220e+18
2010.10.10_01:00:00_TAI,     -0.20782675,      0.12286073,  -0.00048697413,   0.00022219621,       3.8573221,       1.7600162,       97.809792,       1.7600162,   1.9463445e+21,   6.7903834e+18,2010.10.10_01:00:00_TAI,    -0.041570810,     0.029920310,    0.0046524800,   0.00019130000,      638.370,      4.69200,      114.111,      4.69200,   1.6448940e+22,   5.5864010e+18
2010.10.10_01:12:00_TAI,     -0.28649978,      0.12047972,  -0.00054995823,   0.00022052115,       4.3562191,       1.7467481,       99.458082,       1.7467481,   1.9823792e+21,   6.6040087e+18,2010.10.10_01:12:00_TAI,    -0.086153520,     0.030080700,    0.0044340900,   0.00019329000,      631.867,      4.72800,      108.471,      4.72800,   1.6442610e+22,   5.5999300e+18
2010.10.10_01:24:00_TAI,     -0.23236619,      0.12521085,  -0.00051076938,   0.00022595779,       4.0458043,       1.7898116,       99.459186,       1.7898116,   1.9605843e+21,   6.9002888e+18,2010.10.10_01:24:00_TAI,    -0.075949150,     0.029729790,    0.0042683500,   0.00019582000,      635.022,      4.80600,      104.771,      4.80600,   1.6524580e+22,   5.5383380e+18
2010.10.10_01:36:00_TAI,     -0.28134402,      0.13832086,  -0.00062884501,   0.00022846954,       4.9810813,       1.8097072,       98.019331,       1.8097072,   1.9568494e+21,   7.0626426e+18,2010.10.10_01:36:00_TAI,    -0.041658520,     0.029960060,    0.0043960700,   0.00019280000,      644.984,      4.82800,      110.077,      4.82800,   1.6706310e+22,   5.6684230e+18
2010.10.10_01:48:00_TAI,     -0.30929789,      0.12283545,  -0.00069880388,   0.00022701738,       5.5352255,       1.7982047,       101.94943,       1.7982047,   1.9794250e+21,   6.7388889e+18,2010.10.10_01:48:00_TAI,    -0.049977970,     0.029677740,    0.0043203700,   0.00019365000,      632.199,      4.75100,      105.987,      4.75100,   1.6554830e+22,   5.4902960e+18
2010.10.10_02:00:00_TAI,     -0.23105947,      0.13420796,  -0.00064926117,   0.00023873998,       5.1427977,       1.8910594,       100.36863,       1.8910594,   1.9714309e+21,   7.7684196e+18,2010.10.10_02:00:00_TAI,     0.033491760,     0.029982270,    0.0044565500,   0.00019767000,      634.557,      4.79200,      108.040,      4.79200,   1.6430610e+22,   5.4394890e+18
2010.10.10_02:12:00_TAI,     -0.17863041,      0.12599880,  -0.00049798883,   0.00022924691,       3.9445696,       1.8158648,       101.97517,       1.8158648,   1.9570630e+21,   7.0044170e+18,2010.10.10_02:12:00_TAI,   -0.0066741300,     0.030423880,    0.0043408700,   0.00019978000,      656.715,      4.89800,      106.429,      4.89800,   1.6571150e+22,   5.5997390e+18
2010.10.10_02:24:00_TAI,     -0.21200191,      0.12540486,  -0.00044454799,   0.00023389681,       3.5212646,       1.8526966,       100.95156,       1.8526966,   1.9678947e+21,   6.7406816e+18,2010.10.10_02:24:00_TAI,     0.012795620,     0.030359440,    0.0045490600,   0.00020051000,      664.796,      4.95200,      112.339,      4.95200,   1.6758310e+22,   5.6114660e+18
2010.10.10_02:36:00_TAI,     -0.21865350,      0.13249002,  -0.00045768240,   0.00024041656,       3.6253023,       1.9043396,       102.40680,       1.9043396,   1.9776394e+21,   7.0939061e+18,2010.10.10_02:36:00_TAI,   -0.0073328600,     0.030822540,    0.0049521200,   0.00020576000,      682.664,      5.04100,      121.317,      5.04100,   1.6789700e+22,   5.6268080e+18
2010.10.10_02:48:00_TAI,     -0.25514431,      0.12451638,  -0.00035091008,   0.00023596097,       2.7795587,       1.8690468,       105.71573,       1.8690468,   1.9710742e+21,   6.7512294e+18,2010.10.10_02:48:00_TAI,    0.0043072600,     0.030942180,    0.0045622200,   0.00020812000,      684.947,      5.03300,      110.324,      5.03300,   1.6679710e+22,   5.5401260e+18
2010.10.10_03:00:00_TAI,     -0.23860687,      0.12841889,  -0.00033823480,   0.00023602858,       2.6791578,       1.8695824,       106.42630,       1.8695824,   1.9598278e+21,   6.8858566e+18,2010.10.10_03:00:00_TAI,    -0.010413980,     0.031337180,    0.0048173400,   0.00021243000,      698.245,      5.06300,      114.807,      5.06300,   1.6528780e+22,   5.5040160e+18
2010.10.10_03:12:00_TAI,     -0.22353977,      0.12781440,  -0.00032004329,   0.00024039015,       2.5350629,       1.9041304,       108.73622,       1.9041304,   1.9719318e+21,   6.8490523e+18,2010.10.10_03:12:00_TAI,     0.018979280,     0.032288560,    0.0051478200,   0.00022360000,      694.587,      5.18000,      119.260,      5.18000,   1.6303510e+22,   5.5218160e+18
2010.10.10_03:24:00_TAI,     -0.21076231,      0.12860260,  -0.00042015824,   0.00024541496,       3.3280734,       1.9439319,       111.53943,       1.9439319,   1.9956471e+21,   6.8946277e+18,2010.10.10_03:24:00_TAI,    -0.016565380,     0.032698740,    0.0051918200,   0.00022193000,      709.903,      5.21700,      122.039,      5.21700,   1.6408420e+22,   5.6652840e+18
2010.10.10_03:36:00_TAI,     -0.15000444,      0.12625649,  -0.00032979494,   0.00024247727,       2.6123057,       1.9206625,       116.11410,       1.9206625,   2.0225200e+21,   6.7582560e+18,2010.10.10_03:36:00_TAI,    -0.041837020,     0.033184980,    0.0053925300,   0.00023169000,      717.812,      5.25100,      122.205,      5.25100,   1.6143070e+22,   5.5107350e+18
2010.10.10_03:48:00_TAI,     -0.17783590,      0.12309936,  -0.00022852299,   0.00024679856,       1.8101306,       1.9548914,       115.95326,       1.9548914,   2.0184532e+21,   6.6432025e+18,2010.10.10_03:48:00_TAI,   -0.0011465700,     0.033651170,    0.0054521300,   0.00024156000,      726.821,      5.37700,      121.359,      5.37700,   1.6023640e+22,   5.4954030e+18
2010.10.10_04:00:00_TAI,     -0.24147986,      0.12232785,  -0.00033307065,   0.00024439773,       2.6382526,       1.9358744,       110.02139,       1.9358744,   1.9889821e+21,   6.5666937e+18,2010.10.10_04:00:00_TAI,    -0.074818490,     0.033553590,    0.0052861000,   0.00024255000,      726.829,      5.42500,      118.234,      5.42500,   1.6034070e+22,   5.5052390e+18
2010.10.10_04:12:00_TAI,     -0.27719588,      0.11791164,  -1.4487218e-05,   0.00023406061,      0.11475326,       1.8539941,       112.77619,       1.8539941,   1.9648494e+21,   6.2565585e+18,2010.10.10_04:12:00_TAI,    -0.095616320,     0.033062130,    0.0058544900,   0.00023585000,      733.433,      5.40300,      134.126,      5.40300,   1.6152140e+22,   5.5676670e+18
2010.10.10_04:24:00_TAI,     -0.16948338,      0.11033853,  -0.00010224975,   0.00022381519,      0.80992026,       1.7728401,       109.45507,       1.7728401,   1.9770165e+21,   5.8659615e+18,2010.10.10_04:24:00_TAI,   -0.0060077500,     0.033204320,    0.0058540200,   0.00024416000,      719.368,      5.43700,      130.363,      5.43700,   1.5926830e+22,   5.4277070e+18
2010.10.10_04:36:00_TAI,     -0.12988070,      0.10442914,   0.00012985986,   0.00021483204,       1.0286200,       1.7016846,       110.12954,       1.7016846,   1.9277943e+21,   5.5695282e+18,2010.10.10_04:36:00_TAI,    -0.046388660,     0.032489120,    0.0058105700,   0.00024289000,      721.273,      5.48500,      131.226,      5.48500,   1.5929730e+22,   5.3940430e+18
2010.10.10_04:48:00_TAI,     -0.19122895,      0.10083080,   1.9024300e-05,   0.00020680153,      0.15069148,       1.6380749,       105.00480,       1.6380749,   1.9286080e+21,   5.3878560e+18,2010.10.10_04:48:00_TAI,     -0.12062440,     0.031643570,    0.0058745400,   0.00023693000,      733.479,      5.49700,      136.295,      5.49700,   1.6109260e+22,   5.3746790e+18
