Date_obs,MCDz,errMCDz,MCHz,errMCHz,TCHz,errTCHz,ABSNCHz,errABSNCHz,USFz,errUSFz,Brhdr.T_REC,Brhdr.Meanjzd,Brhdr.errjz,Brhdr.meanjzh,Brhdr.errmih,Brhdr.totusjh,Brhdr.errtui,Brhdr.absnjzh,Brhdr.errtai,Brhdr.usflux,Brhdr.errvf
2010.11.07_00:00:00_TAI,     0.031754647,      0.14616535,   0.00011041955,   0.00019723747,      0.87463328,       1.5623180,       58.369271,       1.5623180,   1.1654016e+21,   9.3581598e+18,2010.11.07_00:00:00_TAI,      0.14717588,     0.022835250,    0.0019484600,   0.00014419000,       1631.2910,      7.45800,      100.782,      7.45800,   3.2461400e+22,   7.7100590e+18
2010.11.07_00:12:00_TAI,    -0.019873982,      0.14138977,  -4.5476814e-05,   0.00019233528,      0.36022184,       1.5234878,       57.895976,       1.5234878,   1.1719565e+21,   9.0114319e+18,2010.11.07_00:12:00_TAI,      0.15947382,     0.022879590,    0.0019673400,   0.00014441000,       1616.8390,      7.45400,      101.550,      7.45400,   3.2405820e+22,   7.7071600e+18
2010.11.07_00:24:00_TAI,     0.048011029,      0.14715789,   0.00011364213,   0.00020097936,      0.90015928,       1.5919575,       58.629969,       1.5919575,   1.2083557e+21,   9.9212451e+18,2010.11.07_00:24:00_TAI,      0.19521242,     0.022821460,    0.0019006000,   0.00014285000,       1619.2760,      7.44700,      99.0840,      7.44700,   3.2500950e+22,   7.7527000e+18
2010.11.07_00:36:00_TAI,     0.025924308,      0.14710609,   1.0590142e-05,   0.00019561749,     0.083884516,       1.5494862,       56.059085,       1.5494862,   1.1571470e+21,   9.3286537e+18,2010.11.07_00:36:00_TAI,      0.17022979,     0.022702680,    0.0018067000,   0.00014357000,       1616.4870,      7.44300,      93.6550,      7.44300,   3.2509650e+22,   7.6497750e+18
2010.11.07_00:48:00_TAI,     0.028195356,      0.14695593,   0.00011065268,   0.00019211234,      0.87647986,       1.5217218,       55.492216,       1.5217218,   1.1324031e+21,   9.2944871e+18,2010.11.07_00:48:00_TAI,      0.17305969,     0.022889550,    0.0015735300,   0.00014547000,       1629.1050,      7.51200,      81.2590,      7.51200,   3.2428990e+22,   7.6707640e+18
2010.11.07_01:00:00_TAI,     0.033509345,      0.14498021,   0.00014834234,   0.00019888123,       1.1750197,       1.5753382,       59.858631,       1.5753382,   1.1700315e+21,   9.2550054e+18,2010.11.07_01:00:00_TAI,      0.19622740,     0.023072720,    0.0020939200,   0.00014764000,       1618.4730,      7.61900,      108.050,      7.61900,   3.2382500e+22,   7.6989340e+18
2010.11.07_01:12:00_TAI,     0.032134805,      0.14514307,   0.00021520050,   0.00019581527,       1.7046032,       1.5510527,       60.909818,       1.5510527,   1.1397326e+21,   9.2574165e+18,2010.11.07_01:12:00_TAI,      0.18162611,     0.023400180,    0.0021320900,   0.00014792000,       1611.8450,      7.60700,      109.649,      7.60700,   3.2248450e+22,   7.7715630e+18
2010.11.07_01:24:00_TAI,    0.0078405926,      0.14755221,   5.4813841e-05,   0.00019708848,      0.43418043,       1.5611378,       61.784281,       1.5611378,   1.1615448e+21,   9.1275640e+18,2010.11.07_01:24:00_TAI,      0.19740263,     0.023686710,    0.0020141400,   0.00015164000,       1633.1860,      7.75900,      103.062,      7.75900,   3.2178980e+22,   7.8149040e+18
2010.11.07_01:36:00_TAI,   -0.0079825635,      0.14894857,   6.9286032e-05,   0.00020041658,      0.54881466,       1.5874997,       61.350220,       1.5874997,   1.2127727e+21,   9.0803544e+18,2010.11.07_01:36:00_TAI,      0.20858796,     0.023968480,    0.0022485600,   0.00015399000,       1634.9950,      7.82800,      114.306,      7.82800,   3.2097190e+22,   7.8396060e+18
2010.11.07_01:48:00_TAI,    -0.081887854,      0.14710499,  -2.8480082e-05,   0.00020304397,      0.22559073,       1.6083113,       61.268548,       1.6083113,   1.1710397e+21,   9.4154171e+18,2010.11.07_01:48:00_TAI,      0.18403684,     0.024257840,    0.0020989000,   0.00015754000,       1653.6960,      7.95300,      105.954,      7.95300,   3.1930360e+22,   7.8628050e+18
2010.11.07_02:00:00_TAI,    -0.040807952,      0.14040399,   0.00011561217,   0.00019472828,      0.91576397,       1.5424427,       63.698805,       1.5424427,   1.2062193e+21,   8.9986280e+18,2010.11.07_02:00:00_TAI,      0.17604235,     0.024755300,    0.0022596200,   0.00016179000,       1656.4440,      8.06000,      112.563,      8.06000,   3.1708280e+22,   7.8884700e+18
2010.11.07_02:12:00_TAI,    -0.059515119,      0.18492427,   0.00015826096,   0.00021222813,       1.2535851,       1.6810590,       64.961487,       1.6810590,   1.1879976e+21,   1.0143364e+19,2010.11.07_02:12:00_TAI,      0.19072650,     0.025332640,    0.0021409900,   0.00016899000,       1667.0290,      8.32100,      105.418,      8.32100,   3.1614370e+22,   7.9500770e+18
2010.11.07_02:24:00_TAI,     0.035466389,      0.14126874,  -1.5294034e-05,   0.00019635522,      0.12114405,       1.5553297,       66.281202,       1.5553297,   1.1846476e+21,   8.8715809e+18,2010.11.07_02:24:00_TAI,      0.16887270,     0.025435750,    0.0022975900,   0.00016859000,       1664.8900,      8.22300,      112.070,      8.22300,   3.1353910e+22,   7.8963260e+18
2010.11.07_02:36:00_TAI,      0.10410249,      0.13965890,   0.00016293236,   0.00019839465,       1.2905872,       1.5714840,       66.115753,       1.5714840,   1.2017301e+21,   8.8313561e+18,2010.11.07_02:36:00_TAI,      0.19373538,     0.025923400,    0.0023275200,   0.00017221000,       1673.3670,      8.30400,      112.238,      8.30400,   3.1211220e+22,   7.9602180e+18
